,region,year(date),stream,population
269,Bolivia,2017,94319700,12079472
270,Honduras,2018,93345382,10278345
271,Iceland,2020,91292377,372520
272,Saudi Arabia,2019,91030312,35950396
273,Greece,2018,89968363,10641221
274,Honduras,2017,89340165,10278345
275,Nicaragua,2020,83740023,6850540
276,Bulgaria,2021,79211348,6877743
277,Lithuania,2020,78710017,2800839
278,Iceland,2017,78607588,372520
279,El Salvador,2017,78102113,6314167
280,Slovakia,2018,72959407,5447247
281,Iceland,2021,70888951,372520
282,Latvia,2020,67947131,1884490
283,Latvia,2021,67845329,1884490
284,Romania,2018,67502645,19119880
285,Vietnam,2018,63494060,97468029
286,Greece,2017,57279069,10641221
287,Thailand,2017,54246596,71601103
288,Estonia,2021,52417324,1330932
289,Bulgaria,2020,52118239,6877743
290,Estonia,2020,51923643,1330932
291,Lithuania,2019,50502387,2800839
292,Latvia,2019,49662744,1884490
293,Latvia,2018,42714196,1884490
294,Estonia,2019,41561638,1330932
295,Slovakia,2017,41300733,5447247
296,South Africa,2018,38560847,59392255
297,United Arab Emirates,2019,33493079,9365145
298,Latvia,2017,32840590,1884490
299,Nicaragua,2019,31112297,6850540
300,Lithuania,2018,30629557,2800839
301,Lithuania,2017,29915499,2800839
302,Estonia,2018,26121880,1330932
303,Bulgaria,2019,22214946,6877743
304,Estonia,2017,21402546,1330932
305,Morocco,2019,18090004,37076584
306,Egypt,2019,9804476,107465134
307,Nicaragua,2017,8335651,6850540
308,Bulgaria,2017,6825284,6877743
309,Luxembourg,2017,6012298,640064
310,Luxembourg,2020,3261926,640064
311,Luxembourg,2021,2778646,640064
312,Luxembourg,2019,2344073,640064
313,Bulgaria,2018,1593312,6877743
314,Luxembourg,2018,467504,640064
315,Nicaragua,2018,279698,6850540
