,artist,region,stream,year,Rank
0,Olivia Rodrigo,Belgium,32587224,2021,1
1,Lil Nas X,Belgium,23845486,2021,2
2,Måneskin,Belgium,23399560,2021,3
3,The Weeknd,Belgium,20681267,2021,4
4,Ed Sheeran,Belgium,18801546,2021,5
5,The Kid LAROI,Belgium,18369448,2021,6
6,Billie Eilish,Belgium,17897715,2021,7
7,Justin Bieber,Belgium,17723345,2021,8
8,Dua Lipa,Belgium,15470734,2021,9
9,Doja Cat,Belgium,13668737,2021,10
10,Bad Bunny,Bolivia,13816064,2020,1
11,J Balvin,Bolivia,11213892,2020,2
12,Maluma,Bolivia,9519808,2020,3
13,Camilo,Bolivia,9212796,2020,4
14,Christian Nodal,Bolivia,7602448,2020,5
15,Rauw Alejandro,Bolivia,5274984,2020,6
16,KAROL G,Bolivia,5138145,2020,7
17,"KAROL G, Nicki Minaj",Bolivia,4645668,2020,8
18,"Piso 21, Christian Nodal",Bolivia,3629174,2020,9
19,The Weeknd,Bolivia,3467733,2020,10
20,Marília Mendonça,Brazil,699548604,2019,1
21,Zé Neto & Cristiano,Brazil,461314291,2019,2
22,Gusttavo Lima,Brazil,342071508,2019,3
23,Diego & Victor Hugo,Brazil,238137699,2019,4
24,Jorge & Mateus,Brazil,194625491,2019,5
25,Melim,Brazil,190631624,2019,6
26,Gustavo Mioto,Brazil,165854628,2019,7
27,MC Kevin o Chris,Brazil,161474936,2019,8
28,Dilsinho,Brazil,156288850,2019,9
29,Wesley Safadão,Brazil,138698374,2019,10
30,Gusttavo Lima,Brazil,470306099,2021,1
31,João Gomes,Brazil,448863177,2021,2
32,Henrique & Juliano,Brazil,417014812,2021,3
33,Jorge & Mateus,Brazil,406920180,2021,4
34,Zé Neto & Cristiano,Brazil,377615651,2021,5
35,"Marília Mendonça, Maiara & Maraisa",Brazil,331094367,2021,6
36,Os Barões Da Pisadinha,Brazil,318549080,2021,7
37,Zé Vaqueiro,Brazil,267732973,2021,8
38,Marília Mendonça,Brazil,253308418,2021,9
39,Olivia Rodrigo,Brazil,233818020,2021,10
40,Post Malone,Canada,211087764,2019,1
41,Billie Eilish,Canada,170416357,2019,2
42,Ariana Grande,Canada,141922242,2019,3
43,Ed Sheeran,Canada,118498049,2019,4
44,Khalid,Canada,101535776,2019,5
45,Drake,Canada,91252120,2019,6
46,Juice WRLD,Canada,82956014,2019,7
47,Lil Nas X,Canada,73740166,2019,8
48,A Boogie Wit da Hoodie,Canada,65535764,2019,9
49,Travis Scott,Canada,63494397,2019,10
50,Justin Bieber,Denmark,40029178,2021,1
51,"Benny Jamz, Gilli, KESI, B.O.C",Denmark,39544578,2021,2
52,Ed Sheeran,Denmark,30006993,2021,3
53,Olivia Rodrigo,Denmark,28425985,2021,4
54,The Weeknd,Denmark,27986532,2021,5
55,The Kid LAROI,Denmark,25444525,2021,6
56,Branco,Denmark,21182489,2021,7
57,Lil Nas X,Denmark,20604577,2021,8
58,Artigeardit,Denmark,18350291,2021,9
59,Lord Siva,Denmark,18075861,2021,10
60,Ozuna,Dominican Republic,9017341,2017,1
61,Ed Sheeran,Dominican Republic,3901847,2017,2
62,Bad Bunny,Dominican Republic,3738510,2017,3
63,Maluma,Dominican Republic,3314866,2017,4
64,Romeo Santos,Dominican Republic,3245092,2017,5
65,Nicky Jam,Dominican Republic,2852162,2017,6
66,Anuel AA,Dominican Republic,2342607,2017,7
67,Danny Ocean,Dominican Republic,2341263,2017,8
68,Shakira,Dominican Republic,2268387,2017,9
69,Luis Fonsi,Dominican Republic,2224989,2017,10
70,Bad Bunny,Dominican Republic,29430386,2020,1
71,Myke Towers,Dominican Republic,9820054,2020,2
72,J Balvin,Dominican Republic,5985456,2020,3
73,Camilo,Dominican Republic,5404580,2020,4
74,Rauw Alejandro,Dominican Republic,4936375,2020,5
75,Ozuna,Dominican Republic,4916102,2020,6
76,Anuel AA,Dominican Republic,4881646,2020,7
77,Maluma,Dominican Republic,4725157,2020,8
78,KAROL G,Dominican Republic,3287941,2020,9
79,"Bad Bunny, Jhay Cortez",Dominican Republic,3244528,2020,10
80,Bad Bunny,Ecuador,44352512,2020,1
81,J Balvin,Ecuador,28696746,2020,2
82,Maluma,Ecuador,20117507,2020,3
83,Camilo,Ecuador,19321865,2020,4
84,Rauw Alejandro,Ecuador,10705965,2020,5
85,KAROL G,Ecuador,10102358,2020,6
86,Myke Towers,Ecuador,9476609,2020,7
87,"KAROL G, Nicki Minaj",Ecuador,9297732,2020,8
88,"J Balvin, Bad Bunny",Ecuador,8203573,2020,9
89,"Jay Wheeler, DJ Nelson, Myke Towers",Ecuador,8050658,2020,10
90,Bad Bunny,El Salvador,3654410,2018,1
91,Ozuna,El Salvador,3189911,2018,2
92,Zion & Lennox,El Salvador,2390696,2018,3
93,Piso 21,El Salvador,2375297,2018,4
94,Danny Ocean,El Salvador,2348126,2018,5
95,Manuel Turizo,El Salvador,1937897,2018,6
96,Maluma,El Salvador,1877472,2018,7
97,"Nicky Jam, J Balvin",El Salvador,1827532,2018,8
98,Anuel AA,El Salvador,1712901,2018,9
99,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",El Salvador,1698128,2018,10
100,nublu,Estonia,3521804,2020,1
101,The Weeknd,Estonia,1920880,2020,2
102,Billie Eilish,Estonia,1419683,2020,3
103,Juice WRLD,Estonia,1384001,2020,4
104,Harry Styles,Estonia,1076386,2020,5
105,Dua Lipa,Estonia,1039775,2020,6
106,"5MIINUST, Villemdrillem",Estonia,1024819,2020,7
107,SAINt JHN,Estonia,935920,2020,8
108,5MIINUST,Estonia,865453,2020,9
109,"5MIINUST, nublu",Estonia,864779,2020,10
110,Capital Bra,Germany,274176555,2018,1
111,"Bonez MC, RAF Camora",Germany,162268126,2018,2
112,Drake,Germany,131996754,2018,3
113,Post Malone,Germany,122370661,2018,4
114,XXXTENTACION,Germany,101490353,2018,5
115,Summer Cem,Germany,97839064,2018,6
116,RAF Camora,Germany,95604389,2018,7
117,Luciano,Germany,93538124,2018,8
118,RIN,Germany,91239478,2018,9
119,Bausa,Germany,86890636,2018,10
120,Ozuna,Guatemala,6979145,2018,1
121,Bad Bunny,Guatemala,6615034,2018,2
122,Piso 21,Guatemala,5596440,2018,3
123,Maluma,Guatemala,4912457,2018,4
124,Danny Ocean,Guatemala,4700115,2018,5
125,Zion & Lennox,Guatemala,4379879,2018,6
126,Manuel Turizo,Guatemala,4266761,2018,7
127,"Nicky Jam, J Balvin",Guatemala,3540866,2018,8
128,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Guatemala,3122009,2018,9
129,Reik,Guatemala,2889500,2018,10
130,Bad Bunny,Guatemala,42306214,2020,1
131,Christian Nodal,Guatemala,24546412,2020,2
132,J Balvin,Guatemala,20956851,2020,3
133,Camilo,Guatemala,13373086,2020,4
134,Maluma,Guatemala,13175471,2020,5
135,Rauw Alejandro,Guatemala,9192105,2020,6
136,"J Balvin, Bad Bunny",Guatemala,8112696,2020,7
137,"KAROL G, Nicki Minaj",Guatemala,7899843,2020,8
138,KAROL G,Guatemala,7470863,2020,9
139,"Dímelo Flow, Arcangel, Sech",Guatemala,7122904,2020,10
140,Ed Sheeran,Honduras,3493198,2017,1
141,Ozuna,Honduras,3425974,2017,2
142,Danny Ocean,Honduras,2228584,2017,3
143,Maluma,Honduras,2145371,2017,4
144,Nicky Jam,Honduras,2138452,2017,5
145,Bad Bunny,Honduras,1968981,2017,6
146,Luis Fonsi,Honduras,1805570,2017,7
147,Anuel AA,Honduras,1662762,2017,8
148,Zion & Lennox,Honduras,1558179,2017,9
149,Shakira,Honduras,1481021,2017,10
150,Bad Bunny,Honduras,4063876,2018,1
151,Ozuna,Honduras,2642469,2018,2
152,Danny Ocean,Honduras,2094895,2018,3
153,Zion & Lennox,Honduras,2018952,2018,4
154,Drake,Honduras,1950433,2018,5
155,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Honduras,1809513,2018,6
156,"Nicky Jam, J Balvin",Honduras,1769333,2018,7
157,Maluma,Honduras,1653773,2018,8
158,Piso 21,Honduras,1616524,2018,9
159,Anuel AA,Honduras,1576863,2018,10
160,Bad Bunny,Honduras,22460879,2020,1
161,J Balvin,Honduras,7291063,2020,2
162,Christian Nodal,Honduras,5902104,2020,3
163,Maluma,Honduras,4208603,2020,4
164,Myke Towers,Honduras,4095527,2020,5
165,Camilo,Honduras,3626487,2020,6
166,"J Balvin, Bad Bunny",Honduras,3211287,2020,7
167,Rauw Alejandro,Honduras,3021365,2020,8
168,The Weeknd,Honduras,3019929,2020,9
169,"KAROL G, Nicki Minaj",Honduras,2730089,2020,10
170,Bad Bunny,Honduras,22708351,2021,1
171,Rauw Alejandro,Honduras,5880562,2021,2
172,Christian Nodal,Honduras,4635405,2021,3
173,"Bad Bunny, Jhay Cortez",Honduras,4298765,2021,4
174,Olivia Rodrigo,Honduras,4028264,2021,5
175,Maluma,Honduras,3741103,2021,6
176,Sech,Honduras,3459134,2021,7
177,The Weeknd,Honduras,3414785,2021,8
178,KAROL G,Honduras,3396464,2021,9
179,Farruko,Honduras,3188055,2021,10
180,Imagine Dragons,Hungary,6009658,2018,1
181,XXXTENTACION,Hungary,4417081,2018,2
182,Eminem,Hungary,4330258,2018,3
183,Post Malone,Hungary,4287362,2018,4
184,Drake,Hungary,3621073,2018,5
185,Ariana Grande,Hungary,3550985,2018,6
186,Dua Lipa,Hungary,3396890,2018,7
187,Clean Bandit,Hungary,3389014,2018,8
188,Avicii,Hungary,3320844,2018,9
189,Ed Sheeran,Hungary,3108227,2018,10
190,"Azahriah, DESH",Hungary,10462716,2021,1
191,Lil Nas X,Hungary,9918741,2021,2
192,Olivia Rodrigo,Hungary,9517954,2021,3
193,Dua Lipa,Hungary,9369004,2021,4
194,Måneskin,Hungary,8610340,2021,5
195,The Weeknd,Hungary,7956240,2021,6
196,Ava Max,Hungary,6092888,2021,7
197,Follow The Flow,Hungary,5822816,2021,8
198,Doja Cat,Hungary,5756292,2021,9
199,Ed Sheeran,Hungary,5308496,2021,10
200,"Pritam, Arijit Singh",India,100433531,2020,1
201,BTS,India,88661485,2020,2
202,Ritviz,India,63933539,2020,3
203,Arijit Singh,India,61915619,2020,4
204,Justin Bieber,India,58830225,2020,5
205,Billie Eilish,India,43769529,2020,6
206,The Weeknd,India,39636011,2020,7
207,BLACKPINK,India,38513562,2020,8
208,Diljit Dosanjh,India,38277329,2020,9
209,Maroon 5,India,38268086,2020,10
210,Pamungkas,Indonesia,214087268,2021,1
211,Olivia Rodrigo,Indonesia,204061287,2021,2
212,BTS,Indonesia,140118221,2021,3
213,Nadin Amizah,Indonesia,78001948,2021,4
214,Ariana Grande,Indonesia,75993722,2021,5
215,Justin Bieber,Indonesia,74905170,2021,6
216,Ardhito Pramono,Indonesia,72759840,2021,7
217,GANGGA,Indonesia,71108209,2021,8
218,Tulus,Indonesia,68539813,2021,9
219,Rizky Febian,Indonesia,61448170,2021,10
220,Drake,Ireland,30350041,2018,1
221,Post Malone,Ireland,30116975,2018,2
222,Ariana Grande,Ireland,21269614,2018,3
223,XXXTENTACION,Ireland,18910074,2018,4
224,George Ezra,Ireland,18057877,2018,5
225,Ed Sheeran,Ireland,17277445,2018,6
226,Eminem,Ireland,12323801,2018,7
227,Dua Lipa,Ireland,11785135,2018,8
228,Khalid,Ireland,11750625,2018,9
229,Clean Bandit,Ireland,11628833,2018,10
230,Dermot Kennedy,Ireland,27862276,2020,1
231,Lewis Capaldi,Ireland,26944394,2020,2
232,Juice WRLD,Ireland,25607078,2020,3
233,Harry Styles,Ireland,23130216,2020,4
234,Dua Lipa,Ireland,22568674,2020,5
235,Billie Eilish,Ireland,21428563,2020,6
236,The Weeknd,Ireland,19020054,2020,7
237,Joel Corry,Ireland,18025526,2020,8
238,Pop Smoke,Ireland,15666981,2020,9
239,Taylor Swift,Ireland,14089993,2020,10
240,Eden Hason,Israel,20545751,2020,1
241,Hanan Ben Ari,Israel,12814525,2020,2
242,Omer Adam,Israel,10734227,2020,3
243,Ishay Ribo,Israel,9500597,2020,4
244,Itay Levi,Israel,8612731,2020,5
245,Idan Rafael Haviv,Israel,8105398,2020,6
246,Billie Eilish,Israel,7038175,2020,7
247,Benaia Barabi,Israel,6596451,2020,8
248,Nathan Goshen,Israel,6581008,2020,9
249,Idan Amedi,Israel,6536784,2020,10
250,Aimyon,Japan,131986351,2019,1
251,Official HIGE DANdism,Japan,124150136,2019,2
252,King Gnu,Japan,57352764,2019,3
253,back number,Japan,46643445,2019,4
254,ONE OK ROCK,Japan,45101653,2019,5
255,Mrs. GREEN APPLE,Japan,44811809,2019,6
256,Masaki Suda,Japan,30560606,2019,7
257,Ed Sheeran,Japan,29641494,2019,8
258,TWICE,Japan,27013062,2019,9
259,SPITZ,Japan,24582480,2019,10
260,YOASOBI,Japan,474863279,2021,1
261,BTS,Japan,339861624,2021,2
262,Official HIGE DANdism,Japan,255310539,2021,3
263,優里,Japan,166122970,2021,4
264,Vaundy,Japan,153488135,2021,5
265,Aimyon,Japan,132445648,2021,6
266,Ado,Japan,127998730,2021,7
267,back number,Japan,119560912,2021,8
268,HIRAIDAI,Japan,113244485,2021,9
269,NiziU,Japan,110354201,2021,10
270,XXXTENTACION,Latvia,2401216,2018,1
271,Post Malone,Latvia,2211935,2018,2
272,Drake,Latvia,1749141,2018,3
273,Prāta Vētra,Latvia,1256737,2018,4
274,Eminem,Latvia,952602,2018,5
275,Ariana Grande,Latvia,893675,2018,6
276,Dennis Lloyd,Latvia,633038,2018,7
277,Juice WRLD,Latvia,604193,2018,8
278,"Dynoro, Gigi D'Agostino",Latvia,587310,2018,9
279,"ansis, Kristīne Pāže",Latvia,564925,2018,10
280,Ed Sheeran,Luxembourg,809786,2017,1
281,Luis Fonsi,Luxembourg,257174,2017,2
282,"Luis Fonsi, Daddy Yankee, Justin Bieber",Luxembourg,247378,2017,3
283,"The Chainsmokers, Coldplay",Luxembourg,224007,2017,4
284,Clean Bandit,Luxembourg,215138,2017,5
285,DJ Khaled,Luxembourg,211808,2017,6
286,Kygo,Luxembourg,198121,2017,7
287,Imagine Dragons,Luxembourg,194391,2017,8
288,Future,Luxembourg,183106,2017,9
289,"French Montana, Swae Lee",Luxembourg,168597,2017,10
290,Drake,Luxembourg,34080,2018,1
291,Michael Bublé,Luxembourg,29588,2018,2
292,Mariah Carey,Luxembourg,19904,2018,3
293,Dean Martin,Luxembourg,14744,2018,4
294,Frank Sinatra,Luxembourg,14625,2018,5
295,Ariana Grande,Luxembourg,14426,2018,6
296,Wham!,Luxembourg,11608,2018,7
297,Bobby Helms,Luxembourg,9885,2018,8
298,Brenda Lee,Luxembourg,9389,2018,9
299,Nat King Cole,Luxembourg,9184,2018,10
300,Bad Bunny,Mexico,530783991,2021,1
301,Rauw Alejandro,Mexico,316528089,2021,2
302,Christian Nodal,Mexico,284719981,2021,3
303,The Weeknd,Mexico,204510294,2021,4
304,Maluma,Mexico,201168876,2021,5
305,KAROL G,Mexico,190268146,2021,6
306,Luis Miguel,Mexico,188385577,2021,7
307,"Bad Bunny, Jhay Cortez",Mexico,172022422,2021,8
308,Olivia Rodrigo,Mexico,161436321,2021,9
309,Calibre 50,Mexico,159464119,2021,10
310,Post Malone,New Zealand,42809856,2018,1
311,XXXTENTACION,New Zealand,33743991,2018,2
312,Drake,New Zealand,30062626,2018,3
313,SIX60,New Zealand,26935018,2018,4
314,Ed Sheeran,New Zealand,26438967,2018,5
315,Khalid,New Zealand,20803730,2018,6
316,Ariana Grande,New Zealand,16387876,2018,7
317,Eminem,New Zealand,16342135,2018,8
318,Billie Eilish,New Zealand,13889203,2018,9
319,Kendrick Lamar,New Zealand,11557701,2018,10
320,Billie Eilish,New Zealand,44637883,2019,1
321,Post Malone,New Zealand,36177345,2019,2
322,SIX60,New Zealand,34755981,2019,3
323,Ed Sheeran,New Zealand,34405142,2019,4
324,Khalid,New Zealand,28138990,2019,5
325,Ariana Grande,New Zealand,27888103,2019,6
326,Lil Nas X,New Zealand,12266065,2019,7
327,Sam Smith,New Zealand,11960946,2019,8
328,Lewis Capaldi,New Zealand,10942446,2019,9
329,Drax Project,New Zealand,10704403,2019,10
330,Billie Eilish,Norway,68588858,2019,1
331,Post Malone,Norway,58954180,2019,2
332,Ed Sheeran,Norway,45875289,2019,3
333,Ariana Grande,Norway,31674458,2019,4
334,Tones And I,Norway,28625954,2019,5
335,TIX,Norway,28460153,2019,6
336,Astrid S,Norway,26777062,2019,7
337,Lewis Capaldi,Norway,26524770,2019,8
338,Sam Smith,Norway,25518591,2019,9
339,Ava Max,Norway,24942603,2019,10
340,Ozuna,Panama,7259671,2018,1
341,Bad Bunny,Panama,5424708,2018,2
342,Sech,Panama,4097038,2018,3
343,Anuel AA,Panama,2937409,2018,4
344,Manuel Turizo,Panama,2808031,2018,5
345,Drake,Panama,2689762,2018,6
346,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Panama,2621972,2018,7
347,Piso 21,Panama,2591324,2018,8
348,"Nicky Jam, J Balvin",Panama,2572346,2018,9
349,Zion & Lennox,Panama,2520115,2018,10
350,Ben&Ben,Philippines,297135053,2020,1
351,BLACKPINK,Philippines,139684391,2020,2
352,BTS,Philippines,119832524,2020,3
353,Taylor Swift,Philippines,101044881,2020,4
354,Justin Bieber,Philippines,96309666,2020,5
355,LANY,Philippines,84338554,2020,6
356,Ariana Grande,Philippines,81014091,2020,7
357,Dua Lipa,Philippines,69234185,2020,8
358,Lewis Capaldi,Philippines,65478676,2020,9
359,December Avenue,Philippines,58983782,2020,10
360,sanah,Poland,163308525,2021,1
361,Mata,Poland,131187417,2021,2
362,"Bedoes, Lanek",Poland,61541378,2021,3
363,White 2115,Poland,54299139,2021,4
364,Måneskin,Poland,48196367,2021,5
365,Kizo,Poland,44068969,2021,6
366,Olivia Rodrigo,Poland,41131863,2021,7
367,"Sobel, PSR",Poland,39368328,2021,8
368,"Sobel, Piotrek Lewandowski",Poland,38831259,2021,9
369,The Weeknd,Poland,33959197,2021,10
370,Billie Eilish,Romania,9697887,2019,1
371,Post Malone,Romania,7138834,2019,2
372,Ariana Grande,Romania,5981874,2019,3
373,Ed Sheeran,Romania,4086840,2019,4
374,Nane,Romania,3936414,2019,5
375,XXXTENTACION,Romania,3914065,2019,6
376,Travis Scott,Romania,3903440,2019,7
377,Ian,Romania,3393722,2019,8
378,"Ian, Azteca",Romania,2699681,2019,9
379,Lil Nas X,Romania,2413128,2019,10
380,Ed Sheeran,Singapore,38887003,2019,1
381,Ariana Grande,Singapore,30760551,2019,2
382,Eric Chou,Singapore,28471942,2019,3
383,JJ Lin,Singapore,25609783,2019,4
384,BLACKPINK,Singapore,23964764,2019,5
385,Billie Eilish,Singapore,23200132,2019,6
386,BTS,Singapore,18871469,2019,7
387,Sam Smith,Singapore,18202766,2019,8
388,Post Malone,Singapore,18091259,2019,9
389,Lauv,Singapore,17019499,2019,10
390,Ed Sheeran,Slovakia,2761145,2017,1
391,Imagine Dragons,Slovakia,1718510,2017,2
392,Clean Bandit,Slovakia,825819,2017,3
393,"The Chainsmokers, Coldplay",Slovakia,694095,2017,4
394,"Calvin Harris, Funk Wav",Slovakia,660990,2017,5
395,Kygo,Slovakia,638056,2017,6
396,Axwell /\ Ingrosso,Slovakia,633381,2017,7
397,Charlie Puth,Slovakia,567253,2017,8
398,Avicii,Slovakia,558351,2017,9
399,Shawn Mendes,Slovakia,538176,2017,10
400,Billie Eilish,Slovakia,6165052,2019,1
401,Post Malone,Slovakia,5920532,2019,2
402,DMS,Slovakia,5809367,2019,3
403,Ed Sheeran,Slovakia,4224832,2019,4
404,Gleb,Slovakia,3547026,2019,5
405,Ariana Grande,Slovakia,3289439,2019,6
406,Imagine Dragons,Slovakia,2460671,2019,7
407,Queen,Slovakia,1947076,2019,8
408,Lil Nas X,Slovakia,1814691,2019,9
409,Kontrafakt,Slovakia,1785866,2019,10
410,Ozuna,Spain,101872113,2018,1
411,Bad Bunny,Spain,93744906,2018,2
412,ROSALÍA,Spain,88351377,2018,3
413,Maluma,Spain,70682513,2018,4
414,Aitana,Spain,69928604,2018,5
415,C. Tangana,Spain,66975221,2018,6
416,Beret,Spain,63751837,2018,7
417,"Nicky Jam, J Balvin",Spain,62939437,2018,8
418,"Becky G, Natti Natasha",Spain,61345239,2018,9
419,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Spain,58885264,2018,10
420,Don Patricio,Spain,122844464,2019,1
421,Beret,Spain,115572250,2019,2
422,Paulo Londra,Spain,114781664,2019,3
423,Bad Bunny,Spain,110222968,2019,4
424,Ozuna,Spain,97011137,2019,5
425,Maluma,Spain,78693256,2019,6
426,ROSALÍA,Spain,78593679,2019,7
427,Aitana,Spain,77737206,2019,8
428,"J Balvin, Bad Bunny",Spain,73703727,2019,9
429,"Daddy Yankee, Snow",Spain,70836097,2019,10
430,Bad Bunny,Spain,206323182,2020,1
431,J Balvin,Spain,206114265,2020,2
432,Anuel AA,Spain,130242195,2020,3
433,Rauw Alejandro,Spain,106733921,2020,4
434,Myke Towers,Spain,94256570,2020,5
435,"KAROL G, Nicki Minaj",Spain,90101943,2020,6
436,Camilo,Spain,86407627,2020,7
437,Beret,Spain,86025961,2020,8
438,Ozuna,Spain,82903617,2020,9
439,Maluma,Spain,81070964,2020,10
440,Hov1,Sweden,87778353,2021,1
441,Newkid,Sweden,61021673,2021,2
442,Victor Leksell,Sweden,54628757,2021,3
443,Olivia Rodrigo,Sweden,50406035,2021,4
444,Ed Sheeran,Sweden,50203355,2021,5
445,The Weeknd,Sweden,49396354,2021,6
446,Molly Sandén,Sweden,48536847,2021,7
447,Ant Wan,Sweden,48138943,2021,8
448,Myra Granberg,Sweden,47662474,2021,9
449,Miss Li,Sweden,43459437,2021,10
450,A-Mei Chang,Taiwan,11115478,2018,1
451,LaLa Hsu,Taiwan,9759358,2018,2
452,JJ Lin,Taiwan,8227332,2018,3
453,Ed Sheeran,Taiwan,7696665,2018,4
454,G.E.M.,Taiwan,7247619,2018,5
455,Crowd Lu,Taiwan,7225627,2018,6
456,EggPlantEgg,Taiwan,6978818,2018,7
457,Eason Chan,Taiwan,6700071,2018,8
458,BTS,Taiwan,6681563,2018,9
459,Ronghao Li,Taiwan,6455553,2018,10
460,高爾宣 OSN,Taiwan,22004410,2019,1
461,G.E.M.,Taiwan,21276289,2019,2
462,Jolin Tsai,Taiwan,21117402,2019,3
463,Ed Sheeran,Taiwan,19891860,2019,4
464,Eric Chou,Taiwan,18673956,2019,5
465,EggPlantEgg,Taiwan,16832941,2019,6
466,Yoga Lin,Taiwan,15228520,2019,7
467,Billie Eilish,Taiwan,13246381,2019,8
468,Ariana Grande,Taiwan,12802866,2019,9
469,Taylor Swift,Taiwan,12112859,2019,10
470,Ezhel,Turkey,98936781,2018,1
471,Yüzyüzeyken Konuşuruz,Turkey,42258297,2018,2
472,EDIS,Turkey,30802833,2018,3
473,Mabel Matiz,Turkey,29199333,2018,4
474,Gazapizm,Turkey,23450061,2018,5
475,XXXTENTACION,Turkey,22547085,2018,6
476,Drake,Turkey,21612065,2018,7
477,Simge,Turkey,19457754,2018,8
478,Imagine Dragons,Turkey,19108187,2018,9
479,İdo Tatlıses,Turkey,18752189,2018,10
480,Ed Sheeran,United Kingdom,334280102,2019,1
481,Lewis Capaldi,United Kingdom,330917697,2019,2
482,Ariana Grande,United Kingdom,280622420,2019,3
483,Billie Eilish,United Kingdom,277605556,2019,4
484,Post Malone,United Kingdom,267738394,2019,5
485,Stormzy,United Kingdom,153506592,2019,6
486,Dave,United Kingdom,152458325,2019,7
487,AJ Tracey,United Kingdom,102202920,2019,8
488,George Ezra,United Kingdom,97749803,2019,9
489,Lil Nas X,United Kingdom,96521598,2019,10
490,Juice WRLD,United Kingdom,206818519,2020,1
491,Pop Smoke,United Kingdom,190567919,2020,2
492,Lewis Capaldi,United Kingdom,187005776,2020,3
493,Harry Styles,United Kingdom,171679611,2020,4
494,Billie Eilish,United Kingdom,171193767,2020,5
495,Dua Lipa,United Kingdom,161730509,2020,6
496,The Weeknd,United Kingdom,159995084,2020,7
497,Joel Corry,United Kingdom,127166179,2020,8
498,Drake,United Kingdom,124171533,2020,9
499,Stormzy,United Kingdom,116625687,2020,10
500,Paulo Londra,Uruguay,12031294,2019,1
501,Bad Bunny,Uruguay,5242488,2019,2
502,Maluma,Uruguay,5090992,2019,3
503,Duki,Uruguay,4184379,2019,4
504,Ed Sheeran,Uruguay,4093503,2019,5
505,"Pedro Capó, Farruko",Uruguay,3826105,2019,6
506,Ozuna,Uruguay,3803066,2019,7
507,"Daddy Yankee, Snow",Uruguay,3767842,2019,8
508,WOS,Uruguay,3670505,2019,9
509,"J Balvin, Bad Bunny",Uruguay,3418780,2019,10
510,Juice WRLD,Australia,125771098,2020,1
511,Harry Styles,Australia,105238769,2020,2
512,Billie Eilish,Australia,101292561,2020,3
513,Dua Lipa,Australia,99638671,2020,4
514,The Weeknd,Australia,98891500,2020,5
515,Lewis Capaldi,Australia,96875273,2020,6
516,Pop Smoke,Australia,96469627,2020,7
517,Tones And I,Australia,91005560,2020,8
518,Justin Bieber,Australia,82487339,2020,9
519,Post Malone,Australia,77390374,2020,10
520,Capital Bra,Austria,23728326,2019,1
521,Billie Eilish,Austria,17195886,2019,2
522,MERO,Austria,13377857,2019,3
523,"Capital Bra, Samra",Austria,13143814,2019,4
524,Apache 207,Austria,12817449,2019,5
525,Post Malone,Austria,12102734,2019,6
526,RAF Camora,Austria,10476680,2019,7
527,Ed Sheeran,Austria,10364988,2019,8
528,Summer Cem,Austria,9206817,2019,9
529,"Samra, Capital Bra",Austria,8592297,2019,10
530,Apache 207,Austria,23047929,2020,1
531,Bonez MC,Austria,13706601,2020,2
532,Juice WRLD,Austria,11166673,2020,3
533,Pop Smoke,Austria,9966437,2020,4
534,The Weeknd,Austria,9591835,2020,5
535,Billie Eilish,Austria,8991155,2020,6
536,Ava Max,Austria,8952094,2020,7
537,Tones And I,Austria,8523631,2020,8
538,Samra,Austria,8436709,2020,9
539,Lewis Capaldi,Austria,7994805,2020,10
540,Piso 21,Bolivia,5119909,2018,1
541,Maluma,Bolivia,4755297,2018,2
542,Bad Bunny,Bolivia,3872262,2018,3
543,Danny Ocean,Bolivia,3384418,2018,4
544,Manuel Turizo,Bolivia,3231669,2018,5
545,Ozuna,Bolivia,2997505,2018,6
546,"Nicky Jam, J Balvin",Bolivia,2542023,2018,7
547,Zion & Lennox,Bolivia,2412922,2018,8
548,Paulo Londra,Bolivia,2195133,2018,9
549,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Bolivia,2161024,2018,10
550,Bad Bunny,Bolivia,14467232,2021,1
551,Rauw Alejandro,Bolivia,10398891,2021,2
552,Maluma,Bolivia,9540745,2021,3
553,KAROL G,Bolivia,8325699,2021,4
554,Christian Nodal,Bolivia,8015245,2021,5
555,Sech,Bolivia,5521377,2021,6
556,"Bad Bunny, Jhay Cortez",Bolivia,5442769,2021,7
557,Boza,Bolivia,4959233,2021,8
558,BTS,Bolivia,4946509,2021,9
559,Farruko,Bolivia,4924831,2021,10
560,Ozuna,Chile,95097660,2018,1
561,Bad Bunny,Chile,75129006,2018,2
562,Zion & Lennox,Chile,66674727,2018,3
563,Anuel AA,Chile,63301961,2018,4
564,Piso 21,Chile,53881572,2018,5
565,Danny Ocean,Chile,49690567,2018,6
566,Cami,Chile,46391183,2018,7
567,Maluma,Chile,44102447,2018,8
568,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Chile,43424923,2018,9
569,"Nicky Jam, J Balvin",Chile,42884163,2018,10
