,artist,region,n,date,Rank
3672,Tito Rojas,Dominican Republic,6,2020-12,3
3673,Shawn Mendes,Dominican Republic,6,2020-12,4
3674,Fernando Villalona,Dominican Republic,5,2020-12,5
3675,Myke Towers,Dominican Republic,5,2020-12,6
3676,Michael Bublé,Dominican Republic,4,2020-12,7
3677,Yiyo Sarante,Dominican Republic,4,2020-12,8
3678,Ariana Grande,Dominican Republic,4,2020-12,9
3679,Milly Quezada,Dominican Republic,3,2020-12,10
3680,Kanye West,Dominican Republic,23,2021-08,1
3681,Bad Bunny,Dominican Republic,16,2021-08,2
3682,Rauw Alejandro,Dominican Republic,9,2021-08,3
3683,Nya Shanell,Dominican Republic,9,2021-08,4
3684,El Tom La Nota,Dominican Republic,8,2021-08,5
3685,Eladio Carrion,Dominican Republic,8,2021-08,6
3686,Olivia Rodrigo,Dominican Republic,7,2021-08,7
3687,Aventura,Dominican Republic,6,2021-08,8
3688,Yiyo Sarante,Dominican Republic,6,2021-08,9
3689,Mahlano Da'don,Dominican Republic,5,2021-08,10
3690,Bad Bunny,Dominican Republic,16,2021-10,1
3691,Farruko,Dominican Republic,11,2021-10,2
3692,Adele,Dominican Republic,8,2021-10,3
3693,Eladio Carrion,Dominican Republic,8,2021-10,4
3694,Rauw Alejandro,Dominican Republic,8,2021-10,5
3695,Coldplay,Dominican Republic,7,2021-10,6
3696,Olivia Rodrigo,Dominican Republic,6,2021-10,7
3697,Aventura,Dominican Republic,6,2021-10,8
3698,Yiyo Sarante,Dominican Republic,5,2021-10,9
3699,Doja Cat,Dominican Republic,5,2021-10,10
3700,Ed Sheeran,Ecuador,6,2017-06,1
3701,Maluma,Ecuador,5,2017-06,2
3702,CNCO,Ecuador,5,2017-06,3
3703,Ozuna,Ecuador,5,2017-06,4
3704,Major Lazer,Ecuador,5,2017-06,5
3705,Nicky Jam,Ecuador,4,2017-06,6
3706,Manuel Medrano,Ecuador,4,2017-06,7
3707,Reik,Ecuador,4,2017-06,8
3708,Calvin Harris,Ecuador,4,2017-06,9
3709,Imagine Dragons,Ecuador,4,2017-06,10
3710,Camila Cabello,Ecuador,10,2018-01,1
3711,Ozuna,Ecuador,6,2018-01,2
3712,Manuel Medrano,Ecuador,6,2018-01,3
3713,Maroon 5,Ecuador,6,2018-01,4
3714,Ed Sheeran,Ecuador,5,2018-01,5
3715,Bruno Mars,Ecuador,4,2018-01,6
3716,Carlos Vives,Ecuador,4,2018-01,7
3717,Shakira,Ecuador,4,2018-01,8
3718,Maluma,Ecuador,4,2018-01,9
3719,The Cranberries,Ecuador,3,2018-01,10
3720,Avicii,Ecuador,10,2018-04,1
3721,Ozuna,Ecuador,6,2018-04,2
3722,CNCO,Ecuador,6,2018-04,3
3723,The Weeknd,Ecuador,5,2018-04,4
3724,Ed Sheeran,Ecuador,5,2018-04,5
3725,Morat,Ecuador,4,2018-04,6
3726,Maluma,Ecuador,4,2018-04,7
3727,Sebastian Yatra,Ecuador,4,2018-04,8
3728,Shakira,Ecuador,4,2018-04,9
3729,Wisin,Ecuador,3,2018-04,10
3730,XXXTENTACION,Ecuador,13,2018-06,1
3731,Drake,Ecuador,8,2018-06,2
3732,Morat,Ecuador,6,2018-06,3
3733,Maluma,Ecuador,6,2018-06,4
3734,Ed Sheeran,Ecuador,5,2018-06,5
3735,Piso 21,Ecuador,5,2018-06,6
3736,Luis Miguel,Ecuador,5,2018-06,7
3737,Sebastian Yatra,Ecuador,5,2018-06,8
3738,Bacilos,Ecuador,5,2018-06,9
3739,Bad Bunny,Ecuador,4,2018-06,10
3740,Morat,Ecuador,5,2018-09,1
3741,Maluma,Ecuador,5,2018-09,2
3742,Ozuna,Ecuador,4,2018-09,3
3743,Sebastian Yatra,Ecuador,4,2018-09,4
3744,Fonseca,Ecuador,4,2018-09,5
3745,Ed Sheeran,Ecuador,4,2018-09,6
3746,Piso 21,Ecuador,4,2018-09,7
3747,Luis Miguel,Ecuador,4,2018-09,8
3748,Zoé,Ecuador,3,2018-09,9
3749,Danny Ocean,Ecuador,3,2018-09,10
3750,Morat,Ecuador,13,2018-10,1
3751,Maluma,Ecuador,5,2018-10,2
3752,Sebastian Yatra,Ecuador,4,2018-10,3
3753,Ed Sheeran,Ecuador,4,2018-10,4
3754,Fonseca,Ecuador,4,2018-10,5
3755,Ozuna,Ecuador,4,2018-10,6
3756,XXXTENTACION,Ecuador,4,2018-10,7
3757,Danny Ocean,Ecuador,3,2018-10,8
3758,Manuel Turizo,Ecuador,3,2018-10,9
3759,Manuel Medrano,Ecuador,3,2018-10,10
3760,Eminem,Egypt,18,2020-01,1
3761,Selena Gomez,Egypt,8,2020-01,2
3762,Amr Diab,Egypt,7,2020-01,3
3763,Wegz,Egypt,7,2020-01,4
3764,Marwan Moussa,Egypt,6,2020-01,5
3765,Halsey,Egypt,6,2020-01,6
3766,Marwan Pablo,Egypt,5,2020-01,7
3767,Billie Eilish,Egypt,4,2020-01,8
3768,Mahmoud El Esseily,Egypt,3,2020-01,9
3769,Mohamed Hamaki,Egypt,3,2020-01,10
3770,BTS,Egypt,17,2020-07,1
3771,Wegz,Egypt,16,2020-07,2
3772,Amr Diab,Egypt,15,2020-07,3
3773,Juice WRLD,Egypt,13,2020-07,4
3774,Taylor Swift,Egypt,12,2020-07,5
3775,Marwan Pablo,Egypt,7,2020-07,6
3776,XXXTENTACION,Egypt,7,2020-07,7
3777,Marwan Moussa,Egypt,6,2020-07,8
3778,Mohamed Hamaki,Egypt,5,2020-07,9
3779,Billie Eilish,Egypt,5,2020-07,10
3780,Wegz,Egypt,17,2021-01,1
3781,Marwan Moussa,Egypt,16,2021-01,2
3782,Hamza Namira,Egypt,12,2021-01,3
3783,ZAYN,Egypt,10,2021-01,4
3784,XXXTENTACION,Egypt,8,2021-01,5
3785,Amr Diab,Egypt,7,2021-01,6
3786,Billie Eilish,Egypt,5,2021-01,7
3787,Marwan Pablo,Egypt,5,2021-01,8
3788,Mohamed Hamaki,Egypt,5,2021-01,9
3789,"Molotof, Marwan Pablo",Egypt,4,2021-01,10
3790,Ed Sheeran,El Salvador,5,2017-05,1
3791,Ozuna,El Salvador,4,2017-05,2
3792,Twenty One Pilots,El Salvador,3,2017-05,3
3793,Nicky Jam,El Salvador,3,2017-05,4
3794,CNCO,El Salvador,3,2017-05,5
3795,Maluma,El Salvador,3,2017-05,6
3796,The Chainsmokers,El Salvador,2,2017-05,7
3797,Shakira,El Salvador,2,2017-05,8
3798,Bruno Mars,El Salvador,2,2017-05,9
3799,Harry Styles,El Salvador,2,2017-05,10
3800,BTS,El Salvador,7,2017-09,1
3801,Ozuna,El Salvador,5,2017-09,2
3802,Yandel,El Salvador,4,2017-09,3
3803,Ed Sheeran,El Salvador,4,2017-09,4
3804,Nicky Jam,El Salvador,3,2017-09,5
3805,Shakira,El Salvador,3,2017-09,6
3806,Bad Bunny,El Salvador,3,2017-09,7
3807,Charlie Puth,El Salvador,2,2017-09,8
3808,Zedd,El Salvador,2,2017-09,9
3809,DJ Khaled,El Salvador,2,2017-09,10
3810,Anuel AA,El Salvador,9,2018-07,1
3811,Drake,El Salvador,9,2018-07,2
3812,XXXTENTACION,El Salvador,7,2018-07,3
3813,Luis Miguel,El Salvador,5,2018-07,4
3814,Ozuna,El Salvador,4,2018-07,5
3815,Bad Bunny,El Salvador,4,2018-07,6
3816,Post Malone,El Salvador,3,2018-07,7
3817,Maluma,El Salvador,3,2018-07,8
3818,Ed Sheeran,El Salvador,3,2018-07,9
3819,Piso 21,El Salvador,3,2018-07,10
3820,Morat,El Salvador,13,2019-02,1
3821,Ariana Grande,El Salvador,13,2019-02,2
3822,Bad Bunny,El Salvador,11,2019-02,3
3823,Ozuna,El Salvador,6,2019-02,4
3824,Banda MS de Sergio Lizárraga,El Salvador,5,2019-02,5
3825,Queen,El Salvador,5,2019-02,6
3826,Post Malone,El Salvador,4,2019-02,7
3827,Manuel Turizo,El Salvador,4,2019-02,8
3828,Ed Sheeran,El Salvador,4,2019-02,9
3829,XXXTENTACION,El Salvador,4,2019-02,10
3830,Paulo Londra,El Salvador,13,2019-06,1
3831,Bad Bunny,El Salvador,7,2019-06,2
3832,Ed Sheeran,El Salvador,6,2019-06,3
3833,"J Balvin, Bad Bunny",El Salvador,6,2019-06,4
3834,Bacilos,El Salvador,6,2019-06,5
3835,Post Malone,El Salvador,4,2019-06,6
3836,Danny Ocean,El Salvador,4,2019-06,7
3837,Billie Eilish,El Salvador,4,2019-06,8
3838,Sebastian Yatra,El Salvador,4,2019-06,9
3839,Ozuna,El Salvador,4,2019-06,10
3840,Bad Bunny,El Salvador,17,2020-03,1
3841,Dua Lipa,El Salvador,14,2020-03,2
3842,The Weeknd,El Salvador,14,2020-03,3
3843,J Balvin,El Salvador,8,2020-03,4
3844,Christian Nodal,El Salvador,5,2020-03,5
3845,Billie Eilish,El Salvador,4,2020-03,6
3846,Myke Towers,El Salvador,4,2020-03,7
3847,Reik,El Salvador,3,2020-03,8
3848,Maluma,El Salvador,3,2020-03,9
3849,Sam Smith,El Salvador,3,2020-03,10
3850,Bad Bunny,El Salvador,16,2021-03,1
3851,Humbe,El Salvador,11,2021-03,2
3852,Justin Bieber,El Salvador,8,2021-03,3
3853,Christian Nodal,El Salvador,7,2021-03,4
3854,Camilo,El Salvador,7,2021-03,5
3855,Selena Gomez,El Salvador,6,2021-03,6
3856,Dua Lipa,El Salvador,5,2021-03,7
3857,Maluma,El Salvador,5,2021-03,8
3858,KAROL G,El Salvador,4,2021-03,9
3859,J Balvin,El Salvador,4,2021-03,10
3860,Ed Sheeran,Estonia,16,2017-03,1
3861,Drake,Estonia,9,2017-03,2
3862,"Calvin Harris, Funk Wav",Estonia,2,2017-03,3
3863,The Chainsmokers,Estonia,2,2017-03,4
3864,Kendrick Lamar,Estonia,2,2017-03,5
3865,"The Weeknd, Daft Punk",Estonia,2,2017-03,6
3866,"Drake, Giggs",Estonia,2,2017-03,7
3867,Future,Estonia,2,2017-03,8
3868,Clean Bandit,Estonia,2,2017-03,9
3869,Bastille,Estonia,1,2017-03,10
3870,Eminem,Estonia,14,2017-12,1
3871,Michael Bublé,Estonia,10,2017-12,2
3872,Bing Crosby,Estonia,8,2017-12,3
3873,Nat King Cole,Estonia,4,2017-12,4
3874,Frank Sinatra,Estonia,3,2017-12,5
3875,Sam Smith,Estonia,3,2017-12,6
3876,Ed Sheeran,Estonia,3,2017-12,7
3877,Post Malone,Estonia,3,2017-12,8
3878,Carpenters,Estonia,3,2017-12,9
3879,Imagine Dragons,Estonia,2,2017-12,10
3880,XXXTENTACION,Estonia,15,2018-03,1
3881,The Weeknd,Estonia,5,2018-03,2
3882,NOËP,Estonia,5,2018-03,3
3883,The Chainsmokers,Estonia,3,2018-03,4
3884,Post Malone,Estonia,3,2018-03,5
3885,"The Weeknd, Gesaffelstein",Estonia,2,2018-03,6
3886,Kendrick Lamar,Estonia,2,2018-03,7
3887,Shawn Mendes,Estonia,2,2018-03,8
3888,Dua Lipa,Estonia,2,2018-03,9
3889,Camila Cabello,Estonia,2,2018-03,10
3890,Eminem,Estonia,12,2018-09,1
3891,$uicideboy$,Estonia,5,2018-09,2
3892,Drake,Estonia,4,2018-09,3
3893,Ariana Grande,Estonia,3,2018-09,4
3894,Lil Wayne,Estonia,3,2018-09,5
3895,Post Malone,Estonia,3,2018-09,6
3896,XXXTENTACION,Estonia,3,2018-09,7
3897,Imagine Dragons,Estonia,2,2018-09,8
3898,Mac Miller,Estonia,2,2018-09,9
3899,nublu,Estonia,2,2018-09,10
3900,Taylor Swift,Estonia,12,2019-08,1
3901,Lana Del Rey,Estonia,8,2019-08,2
3902,nublu,Estonia,6,2019-08,3
3903,Billie Eilish,Estonia,5,2019-08,4
3904,Ed Sheeran,Estonia,5,2019-08,5
3905,Pluuto,Estonia,3,2019-08,6
3906,Mabel,Estonia,2,2019-08,7
3907,Post Malone,Estonia,2,2019-08,8
3908,Katy Perry,Estonia,2,2019-08,9
3909,Lil Nas X,Estonia,2,2019-08,10
3910,Eminem,Estonia,18,2020-01,1
3911,Mac Miller,Estonia,12,2020-01,2
3912,Billie Eilish,Estonia,6,2020-01,3
3913,Selena Gomez,Estonia,5,2020-01,4
3914,Harry Styles,Estonia,4,2020-01,5
3915,Halsey,Estonia,4,2020-01,6
3916,Reket,Estonia,4,2020-01,7
3917,nublu,Estonia,3,2020-01,8
3918,Ed Sheeran,Estonia,3,2020-01,9
3919,Juice WRLD,Estonia,3,2020-01,10
3920,kizaru,Estonia,13,2020-11,1
3921,BTS,Estonia,8,2020-11,2
3922,silverrari,Estonia,6,2020-11,3
3923,Juice WRLD,Estonia,5,2020-11,4
3924,Ariana Grande,Estonia,5,2020-11,5
3925,nublu,Estonia,4,2020-11,6
3926,Miley Cyrus,Estonia,3,2020-11,7
3927,"Pitsa, Reket, kohver, boipepperoni",Estonia,3,2020-11,8
3928,Michael Bublé,Estonia,3,2020-11,9
3929,Justin Bieber,Estonia,3,2020-11,10
3930,Pariisin Kevät,Finland,10,2017-02,1
3931,Reino Nordin,Finland,10,2017-02,2
3932,JVG,Finland,9,2017-02,3
3933,Ed Sheeran,Finland,8,2017-02,4
3934,Antti Tuisku,Finland,6,2017-02,5
3935,SANNI,Finland,6,2017-02,6
3936,Mikael Gabriel,Finland,6,2017-02,7
3937,Haloo Helsinki!,Finland,5,2017-02,8
3938,Arttu Lindeman,Finland,4,2017-02,9
3939,Sia,Finland,4,2017-02,10
3940,Lil Peep,Finland,12,2018-11,1
3941,Imagine Dragons,Finland,10,2018-11,2
3942,Ellinoora,Finland,8,2018-11,3
3943,XXXTENTACION,Finland,8,2018-11,4
3944,Billie Eilish,Finland,7,2018-11,5
3945,Evelina,Finland,6,2018-11,6
3946,Queen,Finland,6,2018-11,7
3947,Eminem,Finland,5,2018-11,8
3948,Cheek,Finland,5,2018-11,9
3949,Ariana Grande,Finland,5,2018-11,10
3950,Rammstein,Finland,12,2019-05,1
3951,Billie Eilish,Finland,12,2019-05,2
3952,JVG,Finland,11,2019-05,3
3953,"Tyler, The Creator",Finland,11,2019-05,4
3954,costee,Finland,11,2019-05,5
3955,Pikku G,Finland,11,2019-05,6
3956,"Pyhimys, Saimaa",Finland,10,2019-05,7
3957,Keko Salata,Finland,8,2019-05,8
3958,Olavi Uusivirta,Finland,8,2019-05,9
3959,Gettomasa,Finland,7,2019-05,10
3960,Antti Tuisku,Finland,12,2019-11,1
3961,Lauri Tähkä,Finland,12,2019-11,2
3962,ABREU,Finland,12,2019-11,3
3963,JVG,Finland,11,2019-11,4
3964,Elastinen,Finland,11,2019-11,5
3965,Erin,Finland,9,2019-11,6
3966,Vesala,Finland,9,2019-11,7
3967,MKDMSK,Finland,8,2019-11,8
3968,Maija Vilkkumaa,Finland,8,2019-11,9
3969,Samu Haber,Finland,7,2019-11,10
3970,Juice WRLD,Finland,21,2020-07,1
3971,Pop Smoke,Finland,17,2020-07,2
3972,Taylor Swift,Finland,12,2020-07,3
3973,One Direction,Finland,9,2020-07,4
3974,JVG,Finland,8,2020-07,5
3975,Pyhimys,Finland,5,2020-07,6
3976,Ava Max,Finland,4,2020-07,7
3977,Lauri Tähkä,Finland,4,2020-07,8
3978,Petri Nygård,Finland,4,2020-07,9
3979,Billie Eilish,Finland,4,2020-07,10
3980,Kanye West,Finland,23,2021-09,1
3981,Drake,Finland,18,2021-09,2
3982,Haloo Helsinki!,Finland,13,2021-09,3
3983,Lil Nas X,Finland,12,2021-09,4
3984,Iron Maiden,Finland,10,2021-09,5
3985,Ellinoora,Finland,10,2021-09,6
3986,ABBA,Finland,8,2021-09,7
3987,BEHM,Finland,5,2021-09,8
3988,Ed Sheeran,Finland,5,2021-09,9
3989,Imagine Dragons,Finland,4,2021-09,10
3990,Ninho,France,18,2019-05,1
3991,Koba LaD,France,16,2019-05,2
3992,PNL,France,16,2019-05,3
3993,Shay,France,12,2019-05,4
3994,Zola,France,11,2019-05,5
3995,13 Block,France,7,2019-05,6
3996,Rammstein,France,6,2019-05,7
3997,Aya Nakamura,France,5,2019-05,8
3998,Roméo Elvis,France,5,2019-05,9
3999,Angèle,France,4,2019-05,10
4000,RAF Camora,Germany,10,2017-08,1
4001,Linkin Park,Germany,7,2017-08,2
4002,Avicii,Germany,5,2017-08,3
4003,METRICKZ,Germany,4,2017-08,4
4004,Ed Sheeran,Germany,4,2017-08,5
4005,Capo,Germany,4,2017-08,6
4006,Ufo361,Germany,3,2017-08,7
4007,RIN,Germany,3,2017-08,8
4008,Trailerpark,Germany,3,2017-08,9
4009,"KC Rebell, Summer Cem",Germany,3,2017-08,10
4010,Bausa,Germany,13,2018-02,1
4011,Justin Timberlake,Germany,9,2018-02,2
4012,Brings,Germany,6,2018-02,3
4013,RAF Camora,Germany,5,2018-02,4
4014,Ed Sheeran,Germany,5,2018-02,5
4015,Azet,Germany,4,2018-02,6
4016,Kasalla,Germany,4,2018-02,7
4017,Imagine Dragons,Germany,4,2018-02,8
4018,Kendrick Lamar,Germany,4,2018-02,9
4019,Querbeat,Germany,4,2018-02,10
4020,Post Malone,Germany,19,2018-04,1
4021,Avicii,Germany,15,2018-04,2
4022,Ufo361,Germany,10,2018-04,3
4023,Azet,Germany,8,2018-04,4
4024,RAF Camora,Germany,6,2018-04,5
4025,The Weeknd,Germany,5,2018-04,6
4026,Kontra K,Germany,4,2018-04,7
4027,J. Cole,Germany,4,2018-04,8
4028,Marsimoto,Germany,3,2018-04,9
4029,XXXTENTACION,Germany,3,2018-04,10
4030,Capital Bra,Germany,12,2019-01,1
4031,Die drei ???,Germany,10,2019-01,2
4032,Luciano,Germany,5,2019-01,3
4033,"Nimo, Capo",Germany,5,2019-01,4
4034,XXXTENTACION,Germany,5,2019-01,5
4035,Kontra K,Germany,4,2019-01,6
4036,Ariana Grande,Germany,4,2019-01,7
4037,Tyga,Germany,4,2019-01,8
4038,Imagine Dragons,Germany,4,2019-01,9
4039,Dendemann,Germany,4,2019-01,10
4040,Post Malone,Global,21,2018-04,1
4041,Avicii,Global,16,2018-04,2
4042,J. Cole,Global,13,2018-04,3
4043,Cardi B,Global,11,2018-04,4
4044,XXXTENTACION,Global,9,2018-04,5
4045,Ed Sheeran,Global,7,2018-04,6
4046,The Weeknd,Global,5,2018-04,7
4047,Kendrick Lamar,Global,4,2018-04,8
4048,The Chainsmokers,Global,3,2018-04,9
4049,Drake,Global,3,2018-04,10
4050,XXXTENTACION,Global,34,2018-06,1
4051,Drake,Global,23,2018-06,2
4052,Post Malone,Global,15,2018-06,3
4053,Panic! At The Disco,Global,11,2018-06,4
4054,Shawn Mendes,Global,7,2018-06,5
4055,5 Seconds of Summer,Global,7,2018-06,6
4056,Ed Sheeran,Global,6,2018-06,7
4057,Florence + The Machine,Global,5,2018-06,8
4058,Gorillaz,Global,5,2018-06,9
4059,KIDS SEE GHOSTS,Global,5,2018-06,10
4060,Travis Scott,Global,19,2018-08,1
4061,Ariana Grande,Global,15,2018-08,2
4062,Eminem,Global,13,2018-08,3
4063,BTS,Global,11,2018-08,4
4064,Nicki Minaj,Global,10,2018-08,5
4065,XXXTENTACION,Global,10,2018-08,6
4066,Drake,Global,8,2018-08,7
4067,Trippie Redd,Global,7,2018-08,8
4068,Ed Sheeran,Global,6,2018-08,9
4069,Aretha Franklin,Global,6,2018-08,10
4070,Lil Uzi Vert,Global,34,2020-03,1
4071,The Weeknd,Global,19,2020-03,2
4072,Dua Lipa,Global,12,2020-03,3
4073,Bad Bunny,Global,10,2020-03,4
4074,BTS,Global,9,2020-03,5
4075,Billie Eilish,Global,8,2020-03,6
4076,J Balvin,Global,8,2020-03,7
4077,5 Seconds of Summer,Global,7,2020-03,8
4078,Post Malone,Global,6,2020-03,9
4079,Ed Sheeran,Global,5,2020-03,10
4080,Taylor Swift,Global,19,2020-12,1
4081,Kid Cudi,Global,18,2020-12,2
4082,Shawn Mendes,Global,15,2020-12,3
4083,Playboi Carti,Global,14,2020-12,4
4084,Bad Bunny,Global,12,2020-12,5
4085,Michael Bublé,Global,11,2020-12,6
4086,Eminem,Global,9,2020-12,7
4087,Ariana Grande,Global,8,2020-12,8
4088,Juice WRLD,Global,7,2020-12,9
4089,BTS,Global,7,2020-12,10
4090,Taylor Swift,Global,36,2021-11,1
4091,Adele,Global,19,2021-11,2
4092,Ed Sheeran,Global,15,2021-11,3
4093,Summer Walker,Global,12,2021-11,4
4094,"Bruno Mars, Anderson .Paak, Silk Sonic",Global,9,2021-11,5
4095,Marracash,Global,8,2021-11,6
4096,Olivia Rodrigo,Global,7,2021-11,7
4097,ABBA,Global,7,2021-11,8
4098,The Weeknd,Global,6,2021-11,9
4099,Billie Eilish,Global,5,2021-11,10
4100,XXXTENTACION,Greece,6,2017-08,1
4101,"Calvin Harris, Funk Wav",Greece,3,2017-08,2
4102,Lil Uzi Vert,Greece,3,2017-08,3
4103,Kendrick Lamar,Greece,3,2017-08,4
4104,Travis Scott,Greece,2,2017-08,5
4105,Demi Lovato,Greece,2,2017-08,6
4106,Macklemore,Greece,2,2017-08,7
4107,Selena Gomez,Greece,2,2017-08,8
4108,Kesha,Greece,2,2017-08,9
4109,DJ Khaled,Greece,2,2017-08,10
4110,Migos,Greece,19,2018-01,1
4111,Camila Cabello,Greece,10,2018-01,2
4112,Arctic Monkeys,Greece,4,2018-01,3
4113,Kendrick Lamar,Greece,4,2018-01,4
4114,Ed Sheeran,Greece,3,2018-01,5
4115,Justin Timberlake,Greece,3,2018-01,6
4116,James Arthur,Greece,2,2018-01,7
4117,Maroon 5,Greece,2,2018-01,8
4118,Cardi B,Greece,2,2018-01,9
4119,Post Malone,Greece,2,2018-01,10
4120,DaBaby,Greece,15,2020-04,1
4121,Fy,Greece,12,2020-04,2
4122,The Weeknd,Greece,12,2020-04,3
4123,Light,Greece,7,2020-04,4
4124,Travis Scott,Greece,7,2020-04,5
4125,"Rio, Fi Vita Sigma",Greece,6,2020-04,6
4126,TOQUEL,Greece,6,2020-04,7
4127,Billie Eilish,Greece,5,2020-04,8
4128,iLLEOo,Greece,5,2020-04,9
4129,Dua Lipa,Greece,5,2020-04,10
4130,Ariana Grande,Guatemala,13,2019-02,1
4131,Bad Bunny,Guatemala,11,2019-02,2
4132,Ozuna,Guatemala,6,2019-02,3
4133,Banda MS de Sergio Lizárraga,Guatemala,5,2019-02,4
4134,Queen,Guatemala,5,2019-02,5
4135,Wisin & Yandel,Guatemala,5,2019-02,6
4136,Danny Ocean,Guatemala,4,2019-02,7
4137,Manuel Turizo,Guatemala,4,2019-02,8
4138,Paulo Londra,Guatemala,4,2019-02,9
4139,Ed Sheeran,Guatemala,4,2019-02,10
4140,Taylor Swift,Guatemala,9,2019-08,1
4141,Manuel Turizo,Guatemala,8,2019-08,2
4142,Bad Bunny,Guatemala,7,2019-08,3
4143,Maluma,Guatemala,5,2019-08,4
4144,Banda MS de Sergio Lizárraga,Guatemala,5,2019-08,5
4145,"J Balvin, Bad Bunny",Guatemala,5,2019-08,6
4146,Paulo Londra,Guatemala,5,2019-08,7
4147,Ed Sheeran,Guatemala,5,2019-08,8
4148,Christian Nodal,Guatemala,4,2019-08,9
4149,Post Malone,Guatemala,3,2019-08,10
4150,Bad Bunny,Guatemala,21,2020-11,1
4151,BTS,Guatemala,10,2020-11,2
4152,Christian Nodal,Guatemala,10,2020-11,3
4153,Carin Leon,Guatemala,4,2020-11,4
4154,Maluma,Guatemala,4,2020-11,5
4155,Camilo,Guatemala,4,2020-11,6
4156,J Balvin,Guatemala,4,2020-11,7
4157,Rauw Alejandro,Guatemala,3,2020-11,8
4158,Banda MS de Sergio Lizárraga,Guatemala,3,2020-11,9
4159,El Fantasma,Guatemala,3,2020-11,10
4160,Christian Nodal,Guatemala,10,2021-05,1
4161,Bad Bunny,Guatemala,10,2021-05,2
4162,Olivia Rodrigo,Guatemala,10,2021-05,3
4163,Camilo,Guatemala,5,2021-05,4
4164,BTS,Guatemala,5,2021-05,5
4165,Sech,Guatemala,4,2021-05,6
4166,Banda MS de Sergio Lizárraga,Guatemala,4,2021-05,7
4167,Dua Lipa,Guatemala,4,2021-05,8
4168,The Weeknd,Guatemala,3,2021-05,9
4169,Luis Miguel,Guatemala,3,2021-05,10
4170,Bad Bunny,Guatemala,12,2021-08,1
4171,Christian Nodal,Guatemala,8,2021-08,2
4172,Kanye West,Guatemala,6,2021-08,3
4173,Olivia Rodrigo,Guatemala,6,2021-08,4
4174,Rauw Alejandro,Guatemala,5,2021-08,5
4175,Aventura,Guatemala,5,2021-08,6
4176,BTS,Guatemala,4,2021-08,7
4177,Banda MS de Sergio Lizárraga,Guatemala,4,2021-08,8
4178,The Weeknd,Guatemala,4,2021-08,9
4179,Calibre 50,Guatemala,3,2021-08,10
4180,Ed Sheeran,Honduras,6,2017-05,1
4181,Ozuna,Honduras,5,2017-05,2
4182,Calvin Harris,Honduras,3,2017-05,3
4183,Nicky Jam,Honduras,3,2017-05,4
4184,Maluma,Honduras,3,2017-05,5
4185,Reik,Honduras,2,2017-05,6
4186,Imagine Dragons,Honduras,2,2017-05,7
4187,Shawn Mendes,Honduras,2,2017-05,8
4188,Starley,Honduras,2,2017-05,9
4189,The Chainsmokers,Honduras,2,2017-05,10
4190,Ozuna,Honduras,6,2017-11,1
4191,Ed Sheeran,Honduras,4,2017-11,2
4192,Bad Bunny,Honduras,4,2017-11,3
4193,Piso 21,Honduras,3,2017-11,4
4194,Maluma,Honduras,3,2017-11,5
4195,Banda MS de Sergio Lizárraga,Honduras,3,2017-11,6
4196,Sam Smith,Honduras,3,2017-11,7
4197,Charlie Puth,Honduras,3,2017-11,8
4198,Shakira,Honduras,2,2017-11,9
4199,"J Balvin, Willy William",Honduras,2,2017-11,10
4200,Bad Bunny,Honduras,7,2018-02,1
4201,Ozuna,Honduras,5,2018-02,2
4202,Ed Sheeran,Honduras,5,2018-02,3
4203,Banda MS de Sergio Lizárraga,Honduras,5,2018-02,4
4204,Manuel Turizo,Honduras,3,2018-02,5
4205,Piso 21,Honduras,3,2018-02,6
4206,Christian Nodal,Honduras,2,2018-02,7
4207,Zion & Lennox,Honduras,2,2018-02,8
4208,CNCO,Honduras,2,2018-02,9
4209,Romeo Santos,Honduras,2,2018-02,10
4210,Morat,Honduras,7,2018-10,1
4211,Banda MS de Sergio Lizárraga,Honduras,6,2018-10,2
4212,Ozuna,Honduras,4,2018-10,3
4213,Manuel Turizo,Honduras,3,2018-10,4
4214,Anuel AA,Honduras,3,2018-10,5
4215,Danny Ocean,Honduras,3,2018-10,6
4216,Bad Bunny,Honduras,3,2018-10,7
4217,Zion & Lennox,Honduras,3,2018-10,8
4218,Imagine Dragons,Honduras,3,2018-10,9
4219,XXXTENTACION,Honduras,2,2018-10,10
4220,Bad Bunny,Honduras,14,2019-01,1
4221,Banda MS de Sergio Lizárraga,Honduras,6,2019-01,2
4222,Queen,Honduras,4,2019-01,3
4223,Ozuna,Honduras,4,2019-01,4
4224,Eddy Herrera,Honduras,3,2019-01,5
4225,Manuel Turizo,Honduras,3,2019-01,6
4226,Marc Anthony,Honduras,3,2019-01,7
4227,Sam Smith,Honduras,3,2019-01,8
4228,Maluma,Honduras,3,2019-01,9
4229,Christian Nodal,Honduras,3,2019-01,10
4230,Bad Bunny,Honduras,19,2020-06,1
4231,Anuel AA,Honduras,12,2020-06,2
4232,J Balvin,Honduras,7,2020-06,3
4233,Christian Nodal,Honduras,7,2020-06,4
4234,Camilo,Honduras,5,2020-06,5
4235,Lady Gaga,Honduras,4,2020-06,6
4236,Myke Towers,Honduras,4,2020-06,7
4237,Nitche OG,Honduras,4,2020-06,8
4238,Travis Scott,Honduras,3,2020-06,9
4239,Dua Lipa,Honduras,3,2020-06,10
4240,Bad Bunny,Honduras,31,2020-11,1
