,artist,region,date,n
299,"J Balvin, Bad Bunny",Honduras,2019,71
300,"Sech, Darell",Argentina,2019,71
301,"J Balvin, Willy William",Bolivia,2017,71
302,"BLANCO, Sfera Ebbasta",Italy,2021,71
303,Maluma,Honduras,2020,71
304,Maluma,Guatemala,2020,71
305,Maluma,Costa Rica,2020,71
306,Maluma,El Salvador,2020,71
307,Maluma,Nicaragua,2020,71
308,Måneskin,Romania,2021,71
309,The Kid LAROI,Sweden,2021,71
310,Ed Sheeran,Brazil,2017,70
311,Ariana Grande,Greece,2018,70
312,"Dynoro, Gigi D'Agostino",Poland,2018,70
313,Tones And I,Austria,2019,70
314,"KAROL G, Nicki Minaj",Spain,2020,70
315,Roddy Ricch,Latvia,2020,70
316,Roddy Ricch,Canada,2020,70
317,Damso,France,2017,70
318,Maluma,Panama,2020,70
319,Piso 21,Colombia,2017,70
320,"Kalash, Damso",France,2017,70
321,"Marshmello, Anne-Marie",Hungary,2018,69
322,The Weeknd,United Kingdom,2020,69
323,Capital Bra,Germany,2018,69
324,Wet Bed Gang,Portugal,2019,69
325,Ariana Grande,Global,2019,69
326,Ariana Grande,Malaysia,2019,69
327,"Sech, Darell",Ecuador,2019,69
328,"Shawn Mendes, Camila Cabello",New Zealand,2019,69
329,MEYOU,Thailand,2019,69
330,Tones And I,Saudi Arabia,2019,69
331,BTS,Philippines,2021,69
332,Maluma,Chile,2020,69
333,Os Barões Da Pisadinha,Brazil,2020,69
334,"Post Malone, 21 Savage",New Zealand,2017,69
335,Sfera Ebbasta,Italy,2018,68
336,DaBaby,South Africa,2020,68
337,DaBaby,Ireland,2020,68
338,DaBaby,Australia,2020,68
339,"Ozuna, Manuel Turizo",Guatemala,2018,68
340,"Shawn Mendes, Camila Cabello",Switzerland,2019,68
341,"Shawn Mendes, Camila Cabello",Latvia,2019,68
342,"Shawn Mendes, Camila Cabello",Portugal,2019,68
343,"Shawn Mendes, Camila Cabello",Canada,2019,68
344,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Bolivia,2019,68
345,Maroon 5,Singapore,2019,68
346,"J Balvin, Willy William",Panama,2017,68
347,"J-AX, Fedez",Italy,2017,68
348,"Luis Fonsi, Daddy Yankee, Justin Bieber",Finland,2017,68
349,Maluma,Mexico,2017,68
350,Måneskin,Latvia,2021,68
351,Maluma,Paraguay,2020,68
352,"Bad Bunny, Jhay Cortez",Ecuador,2021,68
353,BRÍET,Iceland,2020,68
354,Olivia Rodrigo,Switzerland,2021,68
355,DaBaby,United Kingdom,2020,67
356,Ed Sheeran,Netherlands,2017,67
