,title,artist,region,year,stream,Rank
265,Tapão Na Raba,Raí Saia Rodada,Brazil,2021,142527182,6
266,Coração Na Cama - Ao Vivo,Hugo & Guilherme,Brazil,2021,133828053,7
267,Arranhão - Ao Vivo,Henrique & Juliano,Brazil,2021,128873128,8
268,Só Não Divulga,"Fernando & Sorocaba, Tarcísio do Acordeon",Brazil,2021,127256600,9
269,Paradigmas,Jorge & Mateus,Brazil,2021,120805251,10
270,Buongiorno,KIDD,Denmark,2021,14343084,1
271,Ibiza,"Benny Jamz, Gilli, KESI, B.O.C",Denmark,2021,14096629,2
272,MCQUEEN,"RH, Branco",Denmark,2021,13161860,3
273,STAY (with Justin Bieber),The Kid LAROI,Denmark,2021,12635975,4
274,Bad Habits,Ed Sheeran,Denmark,2021,12464637,5
275,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Denmark,2021,11275723,6
276,"Er Her (Artigeardit, KESI)",Artigeardit,Denmark,2021,9955026,7
277,drivers license,Olivia Rodrigo,Denmark,2021,9824673,8
278,The Business,Tiësto,Denmark,2021,9339579,9
279,MONTERO (Call Me By Your Name),Lil Nas X,Denmark,2021,9084254,10
280,Hawái,Maluma,Ecuador,2020,9372317,1
281,Tusa,"KAROL G, Nicki Minaj",Ecuador,2020,9297732,2
282,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",Ecuador,2020,8050658,3
283,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Ecuador,2020,7255661,4
284,La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",Ecuador,2020,6855390,5
285,DÁKITI,"Bad Bunny, Jhay Cortez",Ecuador,2020,6829276,6
286,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Ecuador,2020,6618936,7
287,Rojo,J Balvin,Ecuador,2020,6557734,8
288,Blinding Lights,The Weeknd,Ecuador,2020,6538499,9
289,Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",Ecuador,2020,6505467,10
290,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,El Salvador,2018,1704454,1
291,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",El Salvador,2018,1698128,2
292,La player (Bandolera),Zion & Lennox,El Salvador,2018,1665474,3
293,X,"Nicky Jam, J Balvin",El Salvador,2018,1407136,4
294,Me Niego (feat. Ozuna & Wisin),Reik,El Salvador,2018,1342956,5
295,Vaina Loca,"Ozuna, Manuel Turizo",El Salvador,2018,1264100,6
296,Dura,Daddy Yankee,El Salvador,2018,1238242,7
297,Sensualidad,"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",El Salvador,2018,1204010,8
298,No Es Justo,"J Balvin, Zion & Lennox",El Salvador,2018,1177250,9
299,Sin Pijama,"Becky G, Natti Natasha",El Salvador,2018,1120513,10
300,In My Mind,"Dynoro, Gigi D'Agostino",Germany,2018,71732451,1
301,Nevermind,Dennis Lloyd,Germany,2018,60508601,2
302,500 PS,"Bonez MC, RAF Camora",Germany,2018,59130684,3
303,Casanova,"Summer Cem, Bausa",Germany,2018,58042003,4
304,Neymar,"Capital Bra, Ufo361",Germany,2018,57536872,5
305,Was du Liebe nennst,Bausa,Germany,2018,54057235,6
306,Magisch,"Olexesh, Edin",Germany,2018,52241954,7
307,One Kiss (with Dua Lipa),Calvin Harris,Germany,2018,51586155,8
308,God's Plan,Drake,Germany,2018,51393253,9
309,FRIENDS,"Marshmello, Anne-Marie",Germany,2018,49707718,10
310,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Honduras,2018,1809513,1
311,La player (Bandolera),Zion & Lennox,Honduras,2018,1467527,2
312,X,"Nicky Jam, J Balvin",Honduras,2018,1394011,3
313,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Honduras,2018,1363993,4
314,Me Niego (feat. Ozuna & Wisin),Reik,Honduras,2018,1113713,5
315,Dura,Daddy Yankee,Honduras,2018,1113077,6
316,No Es Justo,"J Balvin, Zion & Lennox",Honduras,2018,1062458,7
317,Por Perro,"Sebastian Yatra, Luis Figueroa, Lary Over",Honduras,2018,1046938,8
318,Vaina Loca,"Ozuna, Manuel Turizo",Honduras,2018,1025805,9
319,Sensualidad,"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",Honduras,2018,1016338,10
320,DÁKITI,"Bad Bunny, Jhay Cortez",Honduras,2021,4298765,1
321,Yonaguni,Bad Bunny,Honduras,2021,4014234,2
322,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",Honduras,2021,3152713,3
323,Fiel,"Los Legendarios, Wisin, Jhay Cortez",Honduras,2021,3005986,4
324,Bandido,"Myke Towers, Juhn",Honduras,2021,2903015,5
325,Todo De Ti,Rauw Alejandro,Honduras,2021,2776298,6
326,TE MUDASTE,Bad Bunny,Honduras,2021,2547531,7
327,Botella Tras Botella,"Gera MX, Christian Nodal",Honduras,2021,2087997,8
328,AM Remix,"Nio Garcia, J Balvin, Bad Bunny",Honduras,2021,2087363,9
329,Reloj,"Rauw Alejandro, Anuel AA",Honduras,2021,2082165,10
330,Shotgun,George Ezra,Ireland,2018,8885047,1
331,God's Plan,Drake,Ireland,2018,8673055,2
332,One Kiss (with Dua Lipa),Calvin Harris,Ireland,2018,8045687,3
333,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,Ireland,2018,7245262,4
334,2002,Anne-Marie,Ireland,2018,6917910,5
335,IDGAF,Dua Lipa,Ireland,2018,6651750,6
336,Eastside (with Halsey & Khalid),benny blanco,Ireland,2018,6493948,7
337,Nice For What,Drake,Ireland,2018,6470451,8
