,title,artist,date,n
139,Reggaetón Lento (Bailemos),CNCO,2017-01,158
140,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",2017-08,157
141,Shape of You,Ed Sheeran,2017-05,157
142,rockstar,"Post Malone, 21 Savage",2018-01,157
143,Favorito,Camilo,2020-04,156
144,Sensualidad,"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",2017-12,156
145,bad guy,Billie Eilish,2019-06,155
146,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-09,154
147,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-10,154
148,Callaita,"Bad Bunny, Tainy",2019-06,153
149,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,2021-03,152
150,Wow.,Post Malone,2019-01,150
151,God's Plan,Drake,2018-01,150
152,Amorfoda,Bad Bunny,2018-02,149
153,Girls Like You (feat. Cardi B),Maroon 5,2018-06,149
154,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,2020-10,149
155,Calma - Remix,"Pedro Capó, Farruko",2018-12,148
156,Dance Monkey,Tones And I,2019-08,148
157,Pepas,Farruko,2021-08,147
158,MIA (feat. Drake),Bad Bunny,2018-11,145
159,Roses - Imanbek Remix,SAINt JHN,2020-04,144
160,SAD!,XXXTENTACION,2018-06,143
161,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",2019-07,143
162,HIGHEST IN THE ROOM,Travis Scott,2019-10,142
163,Memories,Maroon 5,2019-10,142
164,Relación,Sech,2020-06,141
165,Butter,BTS,2021-05,136
166,Shallow,"Lady Gaga, Bradley Cooper",2018-11,134
167,Havana (feat. Young Thug),Camila Cabello,2018-01,134
168,Thunder,Imagine Dragons,2017-07,133
169,Criminal,"Natti Natasha, Ozuna",2017-10,133
170,Se Preparó,Ozuna,2017-10,133
171,Rojo,J Balvin,2020-05,130
172,One Kiss (with Dua Lipa),Calvin Harris,2018-06,130
173,Blinding Lights,The Weeknd,2020-05,128
174,Havana,"Camila Cabello, Young Thug",2017-11,127
175,Better Now,Post Malone,2018-05,126
176,All I Want for Christmas Is You,Mariah Carey,2017-12,126
177,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2019-01,125
178,Something Just Like This,"The Chainsmokers, Coldplay",2017-04,123
179,More Than You Know,Axwell /\ Ingrosso,2017-08,123
180,La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",2020-08,122
181,Astronaut In The Ocean,Masked Wolf,2021-02,122
182,Amorfoda,Bad Bunny,2018-03,121
183,Havana,"Camila Cabello, Young Thug",2017-12,121
184,Con Calma,"Daddy Yankee, Snow",2019-04,120
185,Pa Mí - Remix,"Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez",2019-03,120
186,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",2020-04,120
187,Look What You Made Me Do,Taylor Swift,2017-08,120
188,Échame La Culpa,"Luis Fonsi, Demi Lovato",2017-12,120
189,Adan y Eva,Paulo Londra,2018-11,119
190,Too Good At Goodbyes - Edit,Sam Smith,2017-10,119
191,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",2020-08,117
192,Bad Habits,Ed Sheeran,2021-07,115
193,DÁKITI,"Bad Bunny, Jhay Cortez",2021-03,115
194,ZITTI E BUONI,Måneskin,2021-06,115
