,title,artist,region,date,n
147,Tusa,"KAROL G, Nicki Minaj",Guatemala,2020-01,31
148,Tusa,"KAROL G, Nicki Minaj",Chile,2020-01,31
149,Tusa,"KAROL G, Nicki Minaj",Uruguay,2020-01,31
150,Tusa,"KAROL G, Nicki Minaj",Ecuador,2019-12,31
151,Tusa,"KAROL G, Nicki Minaj",Peru,2019-12,31
152,Dance Monkey,Tones And I,Global,2020-01,31
153,Tusa,"KAROL G, Nicki Minaj",El Salvador,2020-01,31
154,Without You,高爾宣 OSN,Taiwan,2019-12,31
155,Tusa,"KAROL G, Nicki Minaj",Nicaragua,2019-12,31
156,Tusa,"KAROL G, Nicki Minaj",Chile,2019-12,31
157,Dance Monkey,Tones And I,Saudi Arabia,2019-12,31
158,Pretender,Official HIGE DANdism,Japan,2019-12,31
159,The Box,Roddy Ricch,United States,2020-01,31
160,Louco,"Piruka, Bluay",Portugal,2020-01,31
161,Tusa,"KAROL G, Nicki Minaj",Mexico,2019-12,31
162,Tusa,"KAROL G, Nicki Minaj",Argentina,2020-01,31
163,The Box,Roddy Ricch,United Arab Emirates,2020-03,31
164,"""想見你想見你想見你(電視劇""""想見你""""片尾曲)""",831,Taiwan,2020-03,31
165,Blinding Lights,The Weeknd,Belgium,2020-03,31
166,Blinding Lights,The Weeknd,Global,2020-03,31
167,Blinding Lights,The Weeknd,United Kingdom,2020-03,31
168,Sen Olsan Bari,Aleyna Tilki,Turkey,2017-08,31
169,Shape of You,Ed Sheeran,Bulgaria,2017-03,31
170,Something Just Like This,"The Chainsmokers, Coldplay",Taiwan,2017-03,31
171,Mi Gente,"J Balvin, Willy William",Costa Rica,2017-08,31
172,Mi Gente,"J Balvin, Willy William",Guatemala,2017-08,31
173,Despacito (Featuring Daddy Yankee),Luis Fonsi,Ecuador,2017-03,31
174,Shape of You,Ed Sheeran,Hungary,2017-03,31
175,Shape of You,Ed Sheeran,Australia,2017-03,31
176,Despacito (Featuring Daddy Yankee),Luis Fonsi,Mexico,2017-03,31
177,Mi Gente,"J Balvin, Willy William",Argentina,2017-08,31
178,Shape of You,Ed Sheeran,Belgium,2017-03,31
179,Despacito (Featuring Daddy Yankee),Luis Fonsi,Spain,2017-03,31
180,Shape of You,Ed Sheeran,Switzerland,2017-03,31
181,Mi Gente,"J Balvin, Willy William",Mexico,2017-08,31
182,Shape of You,Ed Sheeran,Global,2017-03,31
183,Mi Gente,"J Balvin, Willy William",Panama,2017-08,31
184,Mi Gente,"J Balvin, Willy William",Spain,2017-08,31
185,Despacito (Featuring Daddy Yankee),Luis Fonsi,Dominican Republic,2017-03,31
186,Mi Gente,"J Balvin, Willy William",El Salvador,2017-08,31
187,Shape of You,Ed Sheeran,Germany,2017-03,31
188,Shape of You,Ed Sheeran,Slovakia,2017-03,31
189,Despacito (Featuring Daddy Yankee),Luis Fonsi,Peru,2017-03,31
190,Shape of You,Ed Sheeran,Lithuania,2017-03,31
191,Mi Gente,"J Balvin, Willy William",Chile,2017-08,31
192,Shape of You,Ed Sheeran,Latvia,2017-03,31
193,Despacito (Featuring Daddy Yankee),Luis Fonsi,Bolivia,2017-03,31
194,Mi Gente,"J Balvin, Willy William",Bolivia,2017-08,31
195,Shape of You,Ed Sheeran,Poland,2017-03,31
196,Réseaux,Niska,France,2017-08,31
197,Shape of You,Ed Sheeran,New Zealand,2017-03,31
198,It Ain't Me (with Selena Gomez),Kygo,Norway,2017-03,31
199,Despacito (Featuring Daddy Yankee),Luis Fonsi,Uruguay,2017-03,31
200,More Than You Know,Axwell /\ Ingrosso,Austria,2017-08,31
201,Despacito (Featuring Daddy Yankee),Luis Fonsi,Colombia,2017-03,31
202,Despacito (Featuring Daddy Yankee),Luis Fonsi,Nicaragua,2017-03,31
203,Despacito (Featuring Daddy Yankee),Luis Fonsi,Guatemala,2017-03,31
204,Shape of You,Ed Sheeran,Luxembourg,2017-03,31
205,Mi Gente,"J Balvin, Willy William",Switzerland,2017-08,31
206,Despacito (Featuring Daddy Yankee),Luis Fonsi,Panama,2017-03,31
207,Shape of You,Ed Sheeran,Malaysia,2017-03,31
208,Shape of You,Ed Sheeran,Estonia,2017-03,31
