,artist,date,n
523,Official HIGE DANdism,2020-03,31
524,Niska,2017-08,31
525,"Chase Anthony, JóiPé",2017-08,31
526,Aleyna Tilki,2017-08,31
527,Niack,2020-08,31
528,Harry Styles,2020-07,31
529,"Azahriah, DESH",2021-07,31
530,william,2020-08,31
531,nublu,2020-07,31
532,João Gomes,2021-07,31
533,YOASOBI,2020-07,31
534,"Rocco Hunt, Ana Mena",2020-08,31
535,Crowd Lu,2020-10,31
536,Pink Sweat$,2021-01,31
537,"Light, Hawk",2021-01,31
538,Sơn Tùng M-TP,2021-01,31
539,Wegz,2020-12,31
540,Terence Lam,2021-01,31
541,Farruko,2021-07,31
542,Marwan Pablo,2021-03,31
543,UZI,2021-05,31
544,優里,2021-03,31
545,MORGENSHTERN,2021-05,31
546,"Coldplay, BTS",2021-10,31
547,"Static & Ben El, Netta",2021-08,31
548,Bad Bunny,2021-11,31
549,"BLANCO, Sfera Ebbasta",2021-08,31
550,"Anitta, Mc Zaac, Maejor",2018-01,31
551,Ed Sheeran,2018-01,31
552,Gilli,2018-01,31
553,Burak King,2018-01,31
554,Kanye West,2021-08,31
555,6ix9ine,2020-06,30
556,Lo & Leduc,2018-05,30
557,"TACONAFIDE, Quebonafide, Taco Hemingway",2018-04,30
558,Drake,2018-05,30
559,"Adi L Hasla, Pihlaja",2018-05,30
560,YOASOBI,2020-06,30
561,Lo & Leduc,2018-04,30
562,"Quebonafide, Duit, Daria Zawiałow",2020-05,30
563,"Zac Efron, Zendaya",2018-02,30
564,Daddy Yankee,2018-03,30
565,Pop Pongkool,2018-04,30
566,"Becky G, Natti Natasha",2018-06,30
567,"Aleyna Tilki, Emrah Karaduman",2018-06,30
568,"Matheus & Kauan, Anitta",2018-06,30
569,Wet Bed Gang,2018-09,30
570,Capital Bra,2018-08,30
571,"Jawsh 685, Jason Derulo",2020-06,30
572,Wet Bed Gang,2019-04,30
573,"Sin Boy, Mad Clip, Ypo, iLLEOo",2019-04,30
574,Ben Fero,2019-04,30
575,"ROSALÍA, J Balvin, El Guincho",2019-04,30
576,Aimyon,2019-04,30
577,Gilli,2019-06,30
578,YOUNGOHM,2019-03,30
579,Marília Mendonça,2019-06,30
580,Skusta Clee,2019-09,30
581,Omar Montes,2019-11,30
582,Official HIGE DANdism,2019-11,30
583,Official HIGE DANdism,2019-09,30
584,"Arijit Singh, Shilpa Rao",2019-10,30
585,"Đen, Phương Anh Đào",2019-11,30
586,"Piruka, Bluay",2019-12,30
587,Bad Bunny,2019-12,30
588,Mata,2020-01,30
589,Official HIGE DANdism,2020-01,30
590,831,2020-04,30
591,Justin Bieber,2020-04,30
592,Dear Jane,2020-04,30
593,"Joker Bra, VIZE",2020-02,30
594,Official HIGE DANdism,2020-04,30
