,artist,date,n
1368,SNIK,2020-09,15
1369,ElGrandeToto,2021-07,15
1370,Aya Nakamura,2020-07,15
1371,Ariana Grande,2021-01,15
1372,"Afsana Khan, Harrdy Sandhu, Sargun Mehta",2020-12,15
1373,"Mora, Bad Bunny, Sech",2021-07,15
1374,Binz,2020-07,15
1375,ElGrandeToto,2021-01,15
1376,"Ego, Sima, Ben Cristovao",2020-11,15
1377,Guzior,2020-12,15
1378,"AlbertNbn, Nane",2020-12,15
1379,"nublu, gameboy tetris, Raul Ojamaa",2020-12,15
1380,Da LAB,2021-07,15
1381,Viktor Sheen,2020-10,15
1382,Yzomandias,2020-11,15
1383,"Light, Hawk",2020-12,15
1384,Aron Can,2021-05,15
1385,Harnoor,2020-12,15
1386,Artigeardit,2021-06,15
1387,Shirin David,2021-05,15
1388,Boza,2021-04,15
1389,Danny Ocean,2017-09,15
1390,"JóiPé, Króli",2017-10,15
1391,"MYA, TINI, Duki",2021-06,15
1392,MC's Jhowzinho & Kadinho,2017-11,15
1393,Manuş Baba,2017-11,15
1394,back number,2021-10,15
1395,"Leaderbrain, RICTA",2021-08,15
1396,ALEE,2021-11,15
1397,Kygo,2017-02,14
1398,Harry Nach,2020-06,14
1399,"Marshmello, Anne-Marie",2018-02,14
1400,Lo & Leduc,2018-03,14
1401,DA PUMP,2018-08,14
1402,Guè Pequeno,2018-09,14
1403,Anne-Marie,2018-10,14
1404,"Patron, Sagopa Kajmer",2020-06,14
1405,Dadju,2018-10,14
1406,"Avicii, Aloe Blacc",2019-05,14
1407,Aleyna Tilki,2019-05,14
1408,"Marco Borsato, Armin van Buuren, Davina Michelle",2019-06,14
1409,"Niska, Booba",2019-05,14
1410,Marília Mendonça,2019-05,14
1411,MEYOU,2019-08,14
1412,"Branco, Gilli",2019-11,14
1413,Marwan Pablo,2019-11,14
1414,"Şanışer, Kamufle, Mert Şenel, Mirac, Aga B, Defkhan, Aspova, Yeis Sensura, Sehabe, Deniz Tekin, Ozbi, Sokrat St, Tahribad-ı İsyan, Beta, Server Uraz, Hayki, Ados, Fuat",2019-09,14
1415,Ed Sheeran,2019-07,14
1416,"Samra, Capital Bra",2019-09,14
1417,Pyhimys,2019-08,14
1418,"Ice Paris, Pearwah",2019-08,14
1419,ATYPISK,2019-12,14
1420,"Bedoes, Lanek",2019-10,14
1421,Three Man Down,2020-02,14
1422,THE ROOP,2020-02,14
1423,BTS,2020-01,14
1424,Boef,2017-03,14
1425,"Robin Schulz, James Blunt",2017-06,14
1426,"Topic, A7S",2020-07,14
1427,Ren Ran,2021-07,14
1428,831,2020-09,14
1429,Diljit Dosanjh,2020-08,14
1430,"Eldzhey, MORGENSHTERN",2020-09,14
1431,"Rocco Hunt, Ana Mena",2020-09,14
1432,Binz,2020-08,14
1433,Capo Plaza,2021-01,14
1434,Barry,2020-12,14
1435,Tiara Andini,2020-07,14
1436,"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari",2020-12,14
1437,"nublu, Mikael Gabriel",2020-12,14
1438,Madame,2021-03,14
1439,Tiësto,2020-11,14
1440,Minelli,2021-05,14
1441,"RH, Branco",2021-02,14
1442,J. Cole,2021-05,14
1443,"Bausa, Apache 207",2021-02,14
1444,"Riton, Nightcrawlers",2021-03,14
1445,Yandel,2017-09,14
1446,"Kabza De Small, DJ Maphorisa, Ami Faku",2021-10,14
1447,姜濤,2021-08,14
1448,Ezhel,2017-11,14
1449,"Daddy Yankee, Bad Bunny",2017-10,14
1450,Salmo,2021-11,14
1451,"Kabza De Small, DJ Maphorisa",2021-09,14
1452,"Birnir, Herra Hnetusmjör",2018-01,14
1453,"Selena Gomez, Marshmello",2017-10,14
1454,"Anitta, Mc Zaac, Maejor",2017-12,14
1455,Viktor Sheen,2021-11,14
1456,"Olexesh, Edin",2018-04,13
1457,EDIS,2018-03,13
1458,Ed Sheeran,2018-05,13
1459,"Joakim Lundell, Arrhult",2017-02,13
1460,"Powfu, beabadoobee",2020-05,13
1461,Bruno Mars,2017-02,13
1462,"Charlie Charles, Sfera Ebbasta, Ghali",2018-05,13
1463,ONE OK ROCK,2018-04,13
1464,Ed Sheeran,2018-04,13
1465,Bich Phuong,2018-06,13
1466,"JóiPé, Króli",2018-04,13
1467,Nikke Ankara,2018-02,13
1468,"Adi L Hasla, Pihlaja",2018-04,13
1469,"DAOKO, Kenshi Yonezu",2018-08,13
1470,BLACKPINK,2018-08,13
1471,Karen Mok,2020-06,13
1472,Irama,2018-06,13
1473,"MC L da Vinte, MC Gury",2018-12,13
1474,"Sebastian Yatra, Mau y Ricky",2018-09,13
1475,"Đen, Thành Đồng, Vũ.",2018-11,13
1476,Drake,2019-06,13
1477,"Piso 21, Christian Nodal",2019-11,13
1478,Aya Nakamura,2019-09,13
1479,"Murda, Ezhel",2020-01,13
1480,Norm Ender,2019-07,13
1481,Snelle,2019-08,13
1482,Luan Santana,2019-08,13
1483,高爾宣 OSN,2020-02,13
1484,The Toys,2019-12,13
1485,Murda,2020-01,13
1486,"Jasmine Sandlas, Garry Sandhu, Tanishk Bagchi, Intense",2020-02,13
1487,TIX,2020-04,13
1488,Hindia,2020-02,13
1489,"Kontrafakt, Mirez, Dalyb, Zayo, Dokkeytino",2020-02,13
1490,Attan,2017-03,13
1491,Aron Can,2017-04,13
1492,Astrid S,2017-08,13
1493,"ElGrandeToto, Draganov, Don Bigg, Khtek",2020-01,13
1494,831,2020-02,13
1495,Hindia,2020-01,13
1496,"The Chainsmokers, Coldplay",2017-06,13
1497,Gilli,2017-04,13
1498,Crowd Lu,2017-06,13
1499,Anitta,2017-07,13
1500,Clean Bandit,2017-03,13
1501,"J-AX, Fedez",2017-06,13
1502,Selena Gomez,2017-07,13
1503,Shahyn,2021-07,13
1504,nublu,2020-08,13
1505,Juice WRLD,2020-07,13
1506,Master KG,2020-08,13
1507,24kGoldn,2021-01,13
1508,AlbertNbn,2020-11,13
1509,"Reto, Kubi Producent",2020-09,13
1510,Snor,2021-07,13
1511,Justin Bieber,2020-10,13
1512,"Wesley Safadão, Os Barões Da Pisadinha",2021-01,13
1513,Jannika B,2020-11,13
1514,"Snelle, Maan",2021-05,13
1515,"Booba, JSX",2021-03,13
1516,Sơn Tùng M-TP,2021-05,13
1517,Edan 呂爵安,2021-05,13
1518,"Sobel, Piotrek Lewandowski",2021-04,13
1519,"Benny Jamz, Gilli, KESI, B.O.C",2021-06,13
1520,Terence Lam,2021-04,13
1521,"J Balvin, Jowell & Randy",2017-10,13
1522,Jamie Miller,2021-08,13
1523,"Scriptonite, Райда",2021-09,13
1524,Pabllo Vittar,2017-10,13
1525,Mata,2021-10,13
1526,UZI,2021-10,13
1527,SIMONA,2021-11,13
1528,Benson Boone,2021-11,13
1529,Kanye West,2021-09,13
1530,"Anitta, J Balvin",2017-12,13
1531,Wham!,2021-12,13
1532,"Konstantinos Argiros, Rack",2021-09,13
1533,"George Henrique & Rodrigo, Marília Mendonça",2021-12,13
1534,Wham!,2017-12,13
1535,"Marília Mendonça, Maiara & Maraisa",2021-12,13
1536,OBOY,2021-08,13
1537,"Petre Stefan, YNY Sebi",2021-10,13
1538,"Ex Battalion, O.C. Dawgs",2018-01,13
1539,"Mata, Trooh Hippi",2021-10,13
1540,優里,2021-10,13
1541,"Pyhimys, Aksel Kankaanranta",2018-01,13
1542,Wolfine,2018-03,12
1543,Tilly Birds,2020-06,12
1544,Irama,2020-06,12
1545,"Rauw Alejandro, Dalex, Lenny Tavárez",2020-06,12
1546,831,2020-06,12
1547,Capo Plaza,2018-04,12
1548,Bausa,2018-02,12
1549,Vegas Jones,2018-03,12
1550,Gazapizm,2018-03,12
1551,Lo & Leduc,2018-06,12
1552,Eleni Foureira,2018-05,12
1553,Dosseh,2018-06,12
1554,Blaya,2018-04,12
1555,"ClubDub, Ra:tio, Aron Can",2018-10,12
1556,"Rim'K, Ninho",2018-08,12
1557,Bilal Wahib,2020-06,12
1558,"Bizzey, Boef",2018-07,12
1559,Dean Lewis,2018-08,12
1560,Palmy,2018-11,12
1561,"Dua Lipa, BLACKPINK",2018-11,12
1562,"Herra Hnetusmjör, Ingi Bauer",2018-07,12
1563,Nicki Nicole,2020-05,12
1564,This Band,2019-03,12
1565,Maluma,2019-05,12
1566,Coez,2019-04,12
1567,Gabriel Diniz,2019-01,12
1568,Ufuk Beydemir,2019-05,12
1569,TOQUEL,2019-06,12
1570,schafter,2019-06,12
1571,J. Cole,2019-03,12
1572,"Taco Hemingway, Dawid Podsiadło",2019-08,12
1573,"Capital Bra, Samra",2019-03,12
1574,"Ice Paris, Pearwah",2019-09,12
1575,"Anitta, Lexa, Luísa Sonza",2019-12,12
1576,"Lord Siva, Vera",2019-03,12
1577,Capital Bra,2019-12,12
1578,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",2019-07,12
1579,"Branco, Gilli",2020-03,12
1580,BTS,2020-02,12
1581,"Capital Bra, Samra",2019-08,12
1582,Juice WRLD,2019-12,12
1583,SNIK,2019-12,12
1584,"Chris Jedi, J Balvin, Ozuna, Arcangel",2017-04,12
1585,"Jador, Lino Golden",2020-03,12
1586,Lil Kleine,2017-04,12
1587,"Soolking, Cheb Mami",2020-03,12
1588,Danny Ocean,2017-03,12
1589,Kamferdrops,2017-07,12
1590,"NODE, Stepz",2017-03,12
1591,"CKay, ElGrandeToto",2020-10,12
1592,"Taco Hemingway, Lanek",2020-09,12
1593,"Yzomandias, Nik Tendo",2020-09,12
1594,"Boef, Numidia",2020-08,12
1595,Pop Smoke,2020-09,12
1596,"Papu DJ, L-Gante",2021-01,12
1597,"Big Zulu, Riky Rick, Intaba Yase Dubai",2020-12,12
1598,Tima Belorusskih,2020-09,12
1599,"Rocco Hunt, Ana Mena",2020-07,12
1600,"Afroto, Marwan Moussa",2020-11,12
1601,"Jul, SCH",2021-01,12
1602,Yousif Al Sumaidaie,2020-11,12
1603,"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari",2021-01,12
1604,Pink Sweat$,2020-11,12
1605,The Weeknd,2020-12,12
1606,"J Balvin, Dua Lipa, Bad Bunny",2020-07,12
1607,Nadin Amizah,2021-01,12
1608,"Emilia, Duki",2021-07,12
1609,"Rkomi, Junior K",2021-05,12
1610,"KHEA, Duki",2021-04,12
1611,The Kid LAROI,2021-03,12
1612,Tiësto,2021-03,12
1613,"Rusherking, KHEA, Duki, Maria Becerra, Lit Killah, Tiago PZK",2021-03,12
1614,Shawn Mendes,2020-11,12
1615,Halva Priset,2021-05,12
1616,"Bad Bunny, ROSALÍA",2021-03,12
1617,Madrigal,2021-02,12
1618,"NODE, Gilli",2021-03,12
1619,"MORGENSHTERN, Yung Trappa",2021-03,12
1620,"Ekipa, Jacuś",2021-06,12
1621,Artigeardit,2021-05,12
1622,Danny Ocean,2017-10,12
1623,"Hov1, Jireel",2017-11,12
1624,"$hirak, Ronnie Flex, Yssi SB, Lil Kleine",2021-09,12
1625,"Kay One, Pietro Lombardi",2017-09,12
1626,"Petre Stefan, YNY Sebi",2021-11,12
1627,"Anitta, J Balvin",2017-11,12
1628,quiizzzmeow,2021-10,12
1629,"Birnir, Herra Hnetusmjör",2017-10,12
1630,"Emilia, Tiago PZK",2021-10,12
1631,sokodomo,2021-11,12
1632,Marracash,2021-11,12
1633,Sebastian Yatra,2021-11,12
1634,G-Eazy,2017-12,12
1635,"MARS, Arif, Karpe, Unge Ferrari",2018-01,12
1636,Feid,2021-08,12
1637,Dua Lipa,2018-04,11
1638,Mikael Gabriel,2018-04,11
1639,JVG,2017-02,11
1640,Alan Walker,2017-01,11
1641,"MORGENSHTERN, Eldzhey",2020-06,11
1642,"Norlie & KKV, estraden",2018-05,11
1643,"JóiPé, Króli",2018-06,11
1644,SANNI,2018-03,11
1645,"Esko, Josylvio, Hansie",2018-04,11
1646,Capo Plaza,2018-06,11
1647,"Booba, Zed",2020-05,11
1648,Anuel AA,2018-10,11
1649,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper",2018-08,11
1650,"Calvin Harris, Jessie Reyez",2018-10,11
1651,BEGE,2020-05,11
1652,Canbay & Wolker,2018-09,11
1653,Shablo,2020-06,11
1654,"andrei, Killa Fonic, Nane, bbno$, Azteca",2020-05,11
1655,Bad Bunny,2018-08,11
1656,SHAUN,2018-07,11
1657,Sfera Ebbasta,2018-12,11
1658,Mahmood,2019-03,11
1659,"Felipe Araújo, Ferrugem",2019-02,11
1660,Eden Hason,2019-04,11
1661,"Logic, Eminem",2019-05,11
1662,"Maes, Booba",2019-01,11
1663,"Ufo361, RIN",2019-04,11
1664,Queen,2018-11,11
1665,"Akhil, Dhvani Bhanushali, Abhijit Vaghani, Bob",2019-05,11
1666,WANYAi,2019-06,11
1667,"Samra, Capital Bra",2019-07,11
1668,Paloma Mami,2018-12,11
1669,Ronnie Ferrari,2019-10,11
1670,Tones And I,2019-07,11
1671,Lewis Capaldi,2019-12,11
1672,"Murda, Ezhel",2019-09,11
1673,"LEX, Ortiz",2019-12,11
1674,"Bedoes, Lanek, DJ Johny",2019-11,11
1675,"Dadá Boladão, Tati Zaqui, OIK",2019-10,11
1676,Future,2020-01,11
1677,"Yasin, Dree Low",2019-12,11
1678,Surfaces,2020-02,11
1679,"Profeetat, Cheek, Elastinen",2017-08,11
1680,Taco Hemingway,2017-08,11
1681,Gambi,2020-01,11
1682,Tilly Birds,2020-03,11
1683,Damso,2017-07,11
1684,Dua Lipa,2020-03,11
1685,Major Lazer,2017-07,11
1686,L7or,2020-08,11
1687,Aya Nakamura,2020-08,11
1688,Maluma,2020-11,11
1689,Cardi B,2020-10,11
1690,"Mad Clip, Hawk, Sapranov, Light",2020-11,11
1691,Ingó Veðurguð,2020-07,11
1692,"Capital Bra, Cro",2020-08,11
1693,"Pitsa, Reket, kohver, boipepperoni",2020-10,11
1694,BEHM,2020-09,11
1695,"Jul, SCH",2020-12,11
1696,SNIK,2021-05,11
1697,Sơn Tùng M-TP,2020-12,11
1698,THE ROOP,2021-02,11
1699,"kizaru, Big Baby Tape",2021-05,11
1700,"Bruno Mars, Anderson .Paak, Silk Sonic",2021-05,11
1701,Sơn Tùng M-TP,2021-03,11
1702,Madame,2021-04,11
1703,Raí Saia Rodada,2021-03,11
1704,"Hov1, Dree Low",2021-05,11
1705,Aka 7even,2021-04,11
1706,MORGENSHTERN,2020-12,11
1707,Omer Adam,2021-02,11
1708,Sech,2021-03,11
1709,"Riton, Nightcrawlers",2021-05,11
1710,Glass Animals,2021-02,11
1711,Marama,2021-10,11
1712,Lege-Cy,2021-10,11
1713,Arthur Nery,2021-11,11
1714,"Deeperise, Jabbar",2017-09,11
1715,BTS,2017-09,11
1716,"G-Eazy, Halsey",2017-12,11
1717,Piso 21,2017-10,11
1718,"Ronnie Flex, Maan",2018-01,11
1719,"Camilo, Evaluna Montaner",2021-10,11
1720,Muslim - مُسلِم,2021-11,11
1721,"Tiago PZK, Trueno",2021-10,11
1722,Lvbel C5,2021-10,11
1723,MEYOU,2021-08,11
1724,Orelsan,2021-11,11
1725,"Wegz, Disco Misr",2021-10,11
1726,UZI,2021-11,11
1727,Sfera Ebbasta,2018-01,11
1728,James Arthur,2017-01,10
1729,Francesco Gabbani,2017-02,10
1730,Blaya,2018-05,10
1731,Omer Adam,2018-04,10
1732,Rombai,2017-01,10
1733,BNK48,2018-02,10
1734,Post Malone,2018-03,10
1735,"Banda MS de Sergio Lizárraga, Snoop Dogg",2020-05,10
1736,Haloo Helsinki!,2018-02,10
1737,Pop Pongkool,2018-06,10
1738,Capital Bra,2018-04,10
1739,"Aleyna Tilki, Emrah Karaduman",2018-05,10
1740,"Bich Phuong, traitimtrongvang",2020-05,10
1741,Maroon 5,2018-08,10
1742,"MC Kekel, MC Rita",2018-07,10
1743,"Bonez MC, RAF Camora",2018-08,10
1744,"6ix9ine, Anuel AA",2018-10,10
1745,Irama,2018-08,10
1746,"Lalo Ebratt, Trapical",2018-09,10
1747,"Maes, Booba",2018-12,10
1748,Ben&Ben,2018-10,10
1749,SNIK,2020-05,10
1750,Billie Eilish,2019-02,10
1751,"Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez",2019-05,10
1752,Imagine Dragons,2018-11,10
1753,JVG,2019-04,10
1754,Shawn Mendes,2019-05,10
1755,"Anuel AA, KAROL G",2019-03,10
1756,"Erik Follestad, Linni Meister",2018-11,10
1757,"Vegedream, Ninho",2019-07,10
1758,"Eyal Golan, Benaia Barabi",2019-04,10
1759,The Toys,2018-12,10
1760,Itzo Hazarta,2019-05,10
1761,Luciano,2019-06,10
1762,"Dalex, Lenny Tavárez",2019-10,10
1763,EggPlantEgg,2019-03,10
1764,Paloma Mami,2019-03,10
1765,"Julinho Ksd, Yuran, Trista",2019-09,10
1766,Gambi,2019-09,10
1767,Lewis Capaldi,2020-01,10
1768,"SNIK, Guè Pequeno, Noizy, Capo Plaza",2019-10,10
1769,Cledos,2020-03,10
1770,Gambi,2020-02,10
1771,Saad Lamjarred,2019-10,10
1772,Sech,2020-04,10
1773,"Murda, Ezhel",2020-04,10
1774,Diodato,2020-02,10
1775,Antti Tuisku,2017-03,10
1776,ElGrandeToto,2020-03,10
1777,ITZY,2020-03,10
1778,"Gradur, Heuss L'enfoiré",2020-02,10
1779,Sfera Ebbasta,2017-06,10
1780,"Zuna, Loredana, SRNO",2020-03,10
1781,Salvador Sobral,2017-05,10
1782,"187 Strassenbande, Bonez MC, Gzuz",2017-07,10
1783,"Spekti, Tasis",2017-07,10
1784,"Krisko, Galena",2020-08,10
1785,Portion Boys,2021-07,10
1786,"5MIINUST, Hendrik Sal-Saller",2020-10,10
1787,Sơn Tùng M-TP,2020-07,10
1788,"Pil C, Ben Cristovao",2020-09,10
1789,"Sin Laurent, TOQUEL",2020-07,10
1790,"Manuel, T. Danny",2020-11,10
1791,Branco,2021-01,10
1792,Ernia,2020-09,10
1793,Anson Lo 盧瀚霆,2021-07,10
1794,MIN,2020-11,10
1795,DJ Khaled,2020-07,10
1796,BRÍET,2021-01,10
1797,Newkid,2021-01,10
1798,"MG, SNIK",2020-07,10
1799,STIG,2020-11,10
1800,Drake,2020-08,10
1801,Tarcísio do Acordeon,2021-01,10
1802,Justin Bieber,2021-01,10
1803,THE ROOP,2021-01,10
1804,Rolf Sanchez,2020-08,10
1805,"Migrantes, Alico",2020-12,10
1806,"CKay, ElGrandeToto",2020-08,10
1807,Ekipa,2021-03,10
1808,Tayc,2021-03,10
1809,SCH,2021-02,10
1810,Naps,2021-07,10
1811,"DJ Maphorisa, Tyler ICU, Sir Trill, Daliwonga, Kabza De Small",2021-05,10
1812,Wegz,2021-02,10
1813,Marwan Pablo,2021-04,10
1814,Hov1,2021-02,10
1815,Terence Lam,2021-03,10
1816,Tusse,2021-03,10
1817,SNIK,2021-04,10
1818,Mata,2021-06,10
1819,cakal,2021-11,10
1820,Bloody Hawk,2021-11,10
1821,Khalid,2017-09,10
1822,Yade Lauren,2021-11,10
1823,Kaleb J,2021-10,10
1824,Måneskin,2021-08,10
1825,WeiBird,2021-11,10
1826,Bonny Lovy,2021-08,10
1827,"Ozuna, Cardi B",2018-01,10
1828,Ego,2018-01,10
1829,MC $oho & KidNey,2021-09,10
1830,Coez,2018-01,10
1831,"Bizzey, Kraantje Pappie, Chivv, Yung Felix",2018-01,10
1832,IU,2021-10,10
1833,MC 張天賦,2021-10,10
1834,Mariah Carey,2021-11,10
1835,GAYLE,2021-11,10
1836,Gazapizm,2017-12,10
1837,"Ozuna, Mambo Kingz, DJ Luian, Bad Bunny, Wisin, Almighty",2018-01,10
1838,C. Tangana,2020-05,9
1839,Ghali,2020-05,9
1840,"Piso 21, Paulo Londra",2018-04,9
1841,Evelina,2018-03,9
1842,"Kevin, Lil Kleine, Chivv",2018-04,9
1843,"Bad Bunny, Don Omar",2020-05,9
1844,Zé Neto & Cristiano,2018-05,9
1845,IV Of Spades,2018-05,9
1846,"Bizzey, Boef",2018-06,9
1847,"Summer Cem, Bausa",2018-07,9
1848,Three Man Down,2020-06,9
1849,"Alan Walker, Sophia Somajo",2018-10,9
1850,EggPlantEgg,2018-10,9
1851,Gilli,2019-01,9
1852,"Rvssian, Sfera Ebbasta",2018-07,9
1853,Hatik,2020-05,9
1854,"Tagne, Stormy, Khtek",2020-05,9
1855,"Justin Quiles, Daddy Yankee, El Alfa",2020-05,9
1856,Salmo,2019-01,9
1857,Teflon Brothers,2019-01,9
1858,Laddi,2018-12,9
1859,Stormzy,2019-05,9
1860,"Đen, MIN",2019-06,9
1861,Ben Fero,2019-02,9
1862,Palmy,2018-10,9
1863,Aimyon,2019-06,9
1864,MERO,2019-07,9
1865,Halsey,2018-12,9
1866,"RAF Camora, AriBeatz",2018-11,9
1867,"Felipe Araújo, Ferrugem",2018-10,9
1868,TIX,2019-06,9
1869,nublu,2019-06,9
1870,Pyhimys,2019-11,9
1871,Fred De Palma,2019-09,9
1872,"Calin, STEIN27",2019-10,9
1873,Post Malone,2019-03,9
1874,"Arijit Singh, Shilpa Rao",2019-11,9
1875,Farid Bang,2019-06,9
1876,Post Malone,2019-10,9
1877,"MC Du Black, DJ 2F",2019-10,9
1878,Brenda Lee,2018-12,9
1879,"Capital Bra, Samra, LEA",2019-10,9
1880,Jolin Tsai,2018-12,9
1881,"J Balvin, Bad Bunny",2019-06,9
1882,BEHM,2020-01,9
1883,"Yash Narvekar, Parampara Tandon, Tanishk Bagchi",2020-01,9
1884,Herman Flesvig,2020-01,9
1885,GUNGUN,2020-04,9
1886,ريكلس,2020-01,9
1887,Ozuna,2017-08,9
1888,"Lost Frequencies, Netsky",2017-08,9
1889,Malik Montana,2020-03,9
1890,Gilli,2017-08,9
1891,Bonez MC,2020-04,9
1892,"Chris Jedi, J Balvin, Ozuna, Arcangel",2017-05,9
1893,"Davina Michelle, Snelle",2020-03,9
1894,"Tilly Birds, MILLI",2021-07,9
1895,"Sin Laurent, TOQUEL",2020-09,9
1896,SAINt JHN,2020-08,9
1897,Lord Siva,2020-08,9
1898,"MORGENSHTERN, Eldzhey",2020-08,9
1899,"Don Bigg, Ihab Amir",2020-08,9
1900,"Mad Clip, Josephine",2020-07,9
1901,KAROL G,2020-08,9
1902,Viktor Sheen,2020-11,9
1903,Yuri NR5,2021-01,9
1904,L.A.B.,2021-01,9
1905,"Morvasu, TangBadVoice",2020-09,9
1906,"nublu, Mikael Gabriel",2021-01,9
1907,Wegz,2021-07,9
1908,MACE,2021-01,9
1909,Yuri NR5,2020-10,9
1910,Samra,2020-12,9
1911,Nadin Amizah,2020-12,9
1912,LiSA,2020-10,9
1913,"Yssi SB, Qlas & Blacka, Ashafar, ADF Samski",2020-10,9
1914,Big Baby Tape,2020-12,9
1915,"Light, Hawk",2021-03,9
1916,Israel & Rodolffo,2021-05,9
1917,Jüri Pootsmann,2021-03,9
1918,"Jubin Nautiyal, Tanishk Bagchi, Nusrat Fateh Ali Khan, Emraan Hashmi",2021-04,9
1919,"Colapesce, Dimartino",2021-03,9
1920,"Cassper Nyovest, Abidoza, Boohle",2021-06,9
1921,SCH,2021-03,9
1922,"Saske, Rack, Beyond",2021-04,9
1923,Manuel Turizo,2017-10,9
1924,Avicii,2017-09,9
1925,Egor Kreed,2021-06,9
1926,"C. Tangana, Nathy Peluso",2021-11,9
1927,"W/N, Duongg, Nau, titie",2021-08,9
1928,The Toys,2021-09,9
1929,Broederliefde,2017-11,9
1930,aespa,2021-10,9
1931,Calibre 50,2021-11,9
1932,Mad Clip,2021-09,9
1933,dhruv,2021-08,9
1934,"Rack, Saske",2021-10,9
1935,"Young Leosia, Żabson",2021-08,9
1936,"Rack, Saske",2021-11,9
1937,Lvbel C5,2021-11,9
1938,Manuş Baba,2017-10,9
1939,Wawi,2021-09,9
1940,Terence Lam,2021-08,9
1941,DJ Snake,2021-10,9
1942,Calin,2021-10,9
1943,Kaleb J,2021-08,9
1944,Boef,2018-01,9
1945,Mỹ Tâm,2018-05,8
1946,Bad Bunny,2020-06,8
1947,Apache 207,2020-06,8
1948,"MC MM, DJ RD",2018-05,8
1949,"Tagne, Stormy, Khtek",2020-06,8
1950,PRO8L3M,2018-03,8
1951,Lartiste,2018-05,8
1952,Zion & Lennox,2018-04,8
1953,"Carl Brave, Mara Sattei, tha Supreme",2020-05,8
1954,"MC Kekel, MC Rita",2018-04,8
1955,"Herra Hnetusmjör, Ingi Bauer",2018-09,8
1956,"Lalo Ebratt, Trapical",2018-10,8
1957,"$hirak, Lil Kleine",2018-08,8
1958,PNL,2018-07,8
1959,Da LAB,2018-10,8
1960,"Lukas Leon, Cheek, Etta",2018-07,8
1961,"Capital Bra, Ufo361",2018-04,8
1962,ClubDub;Ra:tio,2018-07,8
1963,ABREU,2018-08,8
1964,Taco Hemingway,2018-07,8
1965,Vegedream,2018-10,8
1966,Avril Lavigne,2018-09,8
1967,Sech,2020-05,8
1968,Vegedream,2018-07,8
1969,Bazzi,2018-08,8
1970,Capital Bra,2018-11,8
1971,"Tien Tien, Touliver",2018-11,8
1972,Omer Adam,2018-09,8
1973,"Bad Bunny, El Alfa",2019-01,8
1974,nublu,2019-01,8
1975,PNL,2018-06,8
1976,JVG,2019-05,8
1977,Lil Wayne,2018-09,8
1978,Luche,2019-01,8
1979,"Đen, Thành Đồng, Vũ.",2019-01,8
1980,"Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez",2019-04,8
1981,"ROSALÍA, J Balvin, El Guincho",2019-05,8
1982,"Sokół, PRO8L3M, Steez83, Taco Hemingway",2019-02,8
1983,ProfJam,2019-01,8
1984,"XXXTENTACION, Lil Pump",2018-10,8
1985,Ninho,2019-02,8
1986,Benjamin,2018-11,8
1987,Gilli,2019-07,8
1988,"XXXTENTACION, Lil Pump",2018-11,8
1989,"Capital Bra, Samra",2019-07,8
1990,"Y2K, bbno$",2019-10,8
1991,"MACHETE, Dani Faiv, tha Supreme",2019-08,8
1992,"Đen, MIN",2019-05,8
1993,Wet Bed Gang,2019-03,8
1994,MEYOU,2019-11,8
1995,PLK,2019-09,8
1996,"Taco Hemingway, Dawid Podsiadło",2019-07,8
1997,"Bedoes, Lanek",2019-12,8
1998,"Shawn Mendes, Camila Cabello",2020-02,8
1999,GIULIA BE,2020-02,8
2000,Kanye West,2019-10,8
2001,Saad Lamjarred,2020-03,8
2002,Trevor Daniel,2020-01,8
2003,"LEX, Ortiz",2019-11,8
2004,Mad Clip,2019-12,8
2005,"Ufo361, Ezhel",2019-12,8
2006,BTS,2020-03,8
2007,Snelle,2020-02,8
2008,"Soolking, Cheb Mami",2020-04,8
2009,Lil Uzi Vert,2019-12,8
2010,Luciano,2020-02,8
2011,"Shiva, tha Supreme",2020-01,8
2012,JVG,2019-12,8
2013,"Hkeem, Temur",2017-04,8
2014,"Farruko, Bad Bunny, Rvssian",2017-08,8
2015,Gusttavo Lima,2020-03,8
2016,ALLY,2020-02,8
2017,Gzuz,2020-01,8
2018,Bad Bunny,2020-02,8
2019,Ghali,2020-02,8
2020,"Yash Narvekar, Parampara Tandon, Tanishk Bagchi",2019-12,8
2021,Dear Jane,2020-03,8
2022,Tarkan,2017-07,8
2023,Nikke Ankara,2017-04,8
2024,Gilli,2017-06,8
2025,Ghali,2017-05,8
2026,Ufo361,2020-04,8
2027,"Lost Frequencies, Netsky",2017-07,8
2028,Bonez MC,2020-09,8
2029,Madison Beer,2021-07,8
2030,"Quebonafide, Duit, Daria Zawiałow",2020-07,8
2031,Victor Leksell,2020-08,8
2032,"Kofs, Soso Maness, Elams, Jul, SCH, Naps, Solda, Houari, 13 Organisé",2020-10,8
2033,Apache 207,2020-08,8
2034,"AlbertNbn, Nane",2021-01,8
2035,831,2020-07,8
2036,Victor Leksell,2020-07,8
